,mineral_name,2v,art & architecture thesaurus id (p1014),babelnet id (p2581),birefringence,caption,class,cleavage,colour,commons category (p373),crystal system (p556),dana,dana 8th edition (p714),density,described by source (p1343),description,diaphaneity,dispersion,elhuyar zth id (p4746),encyclopædia britannica online id (p1417),encyclopædia universalis id (p3219),fluorescence,fracture,freebase id (p646),google knowledge graph id (p2671),gran enciclopèdia catalana id (p1296),gravity,great russian encyclopedia online id (p2924),habit,"ima number, broad sense (p484)",ima status and/or rank (p579),kbpedia id (p8408),kivid.info id (p7348),luster,microsoft academic id (p6366),mindat mineral id (p6263),mohs,mohs' hardness (p1088),molweight,name,named after (p138),"nickel-strunz '10th ed', review of (9th ed/ 2009 update) (p713)",nickel-strunz 9th edition (updated 2009) (p712),opticalprop,other,pleochroism,refractive,solid solution series with (p2155),solubility,space group (p690),store norske leksikon id (p4342),streak,streak color (p534),strunz,"strunz 8th edition (series id, updated) (p711)",subclass of (p279),symmetry,system,tenacity,twinning,type locality (geology) (p2695),unit cell,wolfram language entity code (p4839)
458,domeykite,,,,,,Hextetrahedral ( {{overline|4}} 3m) <br/>[[H-M symbol]]: ( {{overline|4}} 3m),None,,Domeykite,cubic crystal system (Q473227),,,,Handbuch der Bestimmenden Mineralogie (Q36923334),,Opaque,,,science/domeykite,,,,/m/07_h5m,,,"7.2 - 8.1, average = 7.65",,"Reniform, botryoidal; massive",,grandfathered mineral (G) (Q13406846),,1115.0,Metallic,,,3-3.5,,265.56 g/mol,Domeykite,Ignacy Domeyko (Q458245),2.AA.10b,2.AA.10b,,"Tarnishes pale yellow, then pale brown, and finally to iridescence",,,,,,,Black gray,,2.AA.10b,II/A.01,sulfide class of minerals (Q927407),''I'' {{overline|4}} 3d,[[Cubic crystal system|Isometric]],Brittle - sectile,,,a = 9.62&nbsp;Å; Z&nbsp;=&nbsp;16,"Entity[""Mineral"", ""Domeykite""]"
459,donnayite-(y),,,,,Donnayite-(Y) (field of view: c. 2 cm),Pedial (1) <br/><small>(same [[H-M symbol]])</small>,,,Donnayite-(Y),triclinic crystal system (Q376927),,,,,,,,,,,,,/m/0hn9mnk,,,,,,IMA1978-007,approved mineral and/or valid name (A) (Q13406835),,,,2777772475,,3,,,Donnayite-(Y),"['Gabrielle Donnay (Q18643520)', 'Joseph Desire Hubert Donnay (Q18643519)', 'duo (Q10648343)']",5.CC.05,5.CC.05,,,,,,,,,,,5.CC.05,V/D.04,mckelveyite mineral group (Q3777743),''P1'',Triclinic,,,Poudrette quarry (Q23790564),,
460,dorrite,90°,,,δ = 0.040,"Reddish-brown dorrite crystals from [[Chelyabinsk]], Russia",[[Inosilicate]] <br/>Sapphirine supergroup,Good cleavage assumed to be parallel to {010} and {001},,Dorrite,,69.2.1a.2,,3.959 g/cm<sup>3</sup>,,,Subopaque,,,,,,Irregular,,/g/1233fyw8,,,,Anhedral; Small prismatic [[crystals]]; Pseudomonoclinic,IMA1987-054,approved mineral and/or valid name (A) (Q13406835),,,Submetallic,,,5,,893.97 g/mol,Dorrite,John A. Dorr (Q29583524),9.DH.40,9.DH.45,,,X=red-orange to brown<br>Y=yellowish brown<br>Z=greenish brown,α=1.82<br/>β=1.84<br/>γ=1.86,,,,,Grey,grey (Q42519),9.DH.40,VIII/F.14,rhönite group (Q3777797),,[[Triclinic]] <br/>Unknown space group,,"Common, producing a pseudomonoclinic symmetry",,"a = 9.98, b = 5.08 <br/>c = 5.24&nbsp;[Å]; β = 99.9°",
461,dresserite,30° - 40°,,,0.083,,Dipyramidal <br />[[H-M symbol]]: ''mmm'' <br />(2/''m'' 2/''m'' 2/''m''),,,Dresserite,orthorhombic crystal system (Q648961),16b.2.1.2,,2.96,,,Transparent,Relatively strong,,,,None,,,/g/1229dgyr,,2.96,,,IMA1968-027,approved mineral and/or valid name (A) (Q13406835),,,"Vitreous, silky",,1319,2.5 - 3,,,,,5.DB.10,5.DB.10,Biaxial (-),,,n<sub>α</sub> = 1.518 <br />n<sub>β</sub> = 1.590 <br />n<sub>γ</sub> = 1.601,,,,,White,,5.DB.10,V/E.08,dundasite mineral group (Q3777681),,[[Orthorhombic]],,,Francon quarry (Q26710874),878.36,
462,dualite,,,,,,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),None,,,hexagonal crystal system (Q663314),64.1b.1.4,64.1b.1.4,"2.84 (measured), 2.81 (calculated; approximated)",,,Transparent or Translucent,,,,,No,Conchoidal,,/g/121k2nhd,,,,anhedral grains,IMA2005-019,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,,27578,5,,,Dualite,ordered pair (Q191290),9.CO.10,9.CO.10,Uniaxial (+),,None,"nω=1.61, nε=1.61 (approximated)",,,,,White,white (Q23444),9.CO.10,,eudialyte mineral group (Q3777578),''R3m'',[[Trigonal]],Brittle,,Mount Alluaiv (Q959258),"a = 14.15, c = 60.72&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3",
463,duftite,Large,,,δ = 0.06,"Duftite from Tsumeb Mine, Tsumeb, Otjikoto Region, Namibia",Disphenoidal (222) <br/>[[H-M symbol]]: (2 2 2),Indistinct,,Duftite,orthorhombic crystal system (Q648961),41.5.1.4,,,,Arsenate mineral,Crystals are transparent to translucent,"r > v, perceptible",,,,,Uneven to conchoidal,/m/07k5p6k,,,"6.4 (measured), 6.60 (calculated)",,"Tiny crystals elongated along [001] with curved and rough faces, aggregated into crusts. Crystals may be pseudo-octahedral.",,grandfathered mineral (G) (Q13406846),,,Vitreous on fracture surfaces and dull on crystal faces,,1325,4.5,,426.67 g/mol,Duftite,,8.BH.35,8.BH.35,"Biaxial (-), faint [[gravenstein|apple]]-green color (transmitted light)",Decrepitates on heating. Not radioactive.,,"n<sub>α</sub> = 2.03–2.04, n<sub>β</sub> = 2.06–2.08, n<sub>γ</sub> = 2.08–2.10",,Readily soluble in acids,,,Pale green or white,,8.BH.35,VII/B.26,adelite subgroup (Q18002867),''P''2<sub>1</sub>2<sub>1</sub>2<sub>1</sub>,[[Orthorhombic]],,,Tsumeb mine (Q23723997),"a = 7.768(1), b = 9.211(1) <br/>c = 5.999(1)&nbsp;[Å]; Z&nbsp;=&nbsp;4",
464,dumortierite,"Measured: 20° to 52°, Calculated: 30°",,,δ = 0.027,"Dumortierite from Tuléar Province (Toliara), Madagascar",Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),"Distinct on {100}, poor on {110}; parting on {001}",,Dumortierite,orthorhombic crystal system (Q648961),,,,"['Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Note sur l´existance d´une espèce minérale nouvelle, la dumortiérite dans le gneiss de Beaunan, au-dessus des anciens aqueducs galloromains de la vallée de l´Izeron (Rhône) (Q107522949)']",,Transparent to translucent,r > v; strong,,,,,Fibrous,/m/064fzj,,,3.3 - 3.4,,As fibrous or columnar crystals; coarsely crystalline to intimate parallel aggregates of needles; massive,IMA2013 s.p.,"['grandfathered mineral (G) (Q13406846)', 'redefined mineral (Rd) (Q13406872)']",Dumortierite,516.0,Vitreous to dull,2778552925,1329,7 - 8.5,,,Dumortierite,Eugène Dumortier (Q3059837),9.AJ.10,9.AJ.10,Biaxial (-),,Strong; X = deep blue or violet; Y = yellow to red-violet or nearly colorless; Z = colorless or very pale blue,n<sub>α</sub> = 1.659 - 1.678 n<sub>β</sub> = 1.684 - 1.691 n<sub>γ</sub> = 1.686 - 1.692,,,,dumortieritt,White,white (Q23444),9.AJ.10,VIII/B.31,dumortierite mineral group (Q3777679),''Pmcn'' (no. 62),[[Orthorhombic]],,"Common on {110}, may produce trillings",,"a = 11.77&nbsp;[[Ångstrom|Å]], b = 20.21&nbsp;Å<br/> c = 4.71&nbsp;Å; Z&nbsp;=&nbsp;4",
465,dundasite,"Measured: 30° to 40°, calculated: 54°",,,δ = 0.147,"Dundasite (the white mineral) and [[crocoite]] from Dundas, Tasmania. Field of view is 5mm.",Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),Perfect On {010},,Dundasite,orthorhombic crystal system (Q648961),,16b.2.1.1,,,,Transparent,,,,,,,/m/080j__j,,,3.10 – 3.55,,Acicular crystals typically in spherical aggregates and matted crusts,,grandfathered mineral (G) (Q13406846),,,Vitreous to silky,,1330,2,,,Dundasite,Dundas (Q5314748),5.DB.10,5.DB.10,Biaxial (-),,,n<sub>α</sub> = 1.603 n<sub>β</sub> = 1.716 n<sub>γ</sub> = 1.750,,,,,White,white (Q23444),5.DB.10,V/E.08,dundasite mineral group (Q3777681),''Pbmm'' (no. 51),[[Orthorhombic]],,,Dundas mineral field (Q24052619),"a = 9.08, b = 16.37 <br/>c = 5.62&nbsp;[Å]; Z&nbsp;=&nbsp;4",
466,dypingite,,,,δ = 0.0080,"Dypingite (white rosettes) with other minerals, found in Spain",[[Carbonate mineral]]s,,,Dypingite,,16b.07.02.01,,,,,Semitransparent,,,,,"Fluorescent and phosphorescent, Short UV=gray blue, Long UV=light blue",,/m/0nb8fs5,,,2.15,,Globular - spherical to rounded forms (e.g. wavellite),IMA1970-011,approved mineral and/or valid name (A) (Q13406835),,,Pearly,2776823093,,,,485.65 g/mol,Dypingite,,5.DA.05,5.DA.05,Biaxial (+),,Colorless,n<sub>α</sub> = 1.508 n<sub>β</sub> = 1.510 n<sub>γ</sub> = 1.516,,,,dypingitt,White to gray,,5.DA.05,V/E.01,hydromagnesite mineral group (Q3777596),,[[Monoclinic]] <br/>Unknown space group,Brittle,,,,
467,dyrnaesite-(la),,,,,,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),,,,orthorhombic crystal system (Q648961),,,,,,,,,,,,,,/g/11clyt4mtq,,,,,IMA2014-070,approved mineral and/or valid name (A) (Q13406835),,,,,,,,,Dyrnaesite-(La),Dyrnæs (Q17515039),,,,,,,,,space group Pnma (Q103889730),,,,,,phosphate class of minerals (Q3092395),''Pnma'',[[Orthorhombic]],,,Taseq area (Q23887131),"''a'' = 18.466, ''b'' = 16.011 <br/>''c'' = 7.027&nbsp;[Å] (approximated) <br/>''Z''&nbsp;=&nbsp;4",
468,dyscrasite,,,,Very Weak,Twinned dyscrasite crystals from the Czech Republic (size: 4.5 x 4.5 x 3.3 cm),Pyramidal (mm2) <br/>[[H-M symbol]]: (mm2),"Distinct on {001} {001}, imperfect on {110}",,Dyscrasite,orthorhombic crystal system (Q648961),,,,Traité Élémentaire de Minéralogie (Q31397605),,Opaque,,,science/dyscrasite,,,Irregular or uneven,/m/0ddb_gv,,0099364,9.4 - 10,,"Pyramidal crystals also cylindrical, prismatic to platy, striated; granular, foliated or massive",,grandfathered mineral (G) (Q13406846),Dyscrasite,262.0,Metallic,2775919492,,{{frac|3|1|2}} - 4,,,Dyscrasite,"['dys- (Q16869131)', 'mixture (Q169336)']",2.AA.35,2.AA.35,,Weakly anisotropic,Very Weak,,,,,dyskrasitt,Silver-white,,2.AA.35,II/A.02,sulfide class of minerals (Q927407),''Pmm2'',[[Orthorhombic]],Sectile,On {110} produces pseudohexagonal forms,,"a = 3.008, b = 4.828 <br/>c = 5.214&nbsp;[Å]; Z&nbsp;=&nbsp;1",
469,dzhalindite,,,,,,Diploidal (m {{overline|3}} ) <br/>[[H-M symbol]]: (2/m {{overline|3}} ),,,,cubic crystal system (Q473227),,6.3.5.1,,,,Transparent to subopaque,,,,,,,/m/0cc7fnx,,,4.38,,Massive,IMA1967 s.p.,approved mineral and/or valid name (A) (Q13406835),,,,,,4 - 4.5,,,Dzhalindite,Dzhalinda tin deposit (Q21095005),4.FC.05,4.FC.05,Isotropic,,,n = 1.725,,,,,,,4.FC.05,IV/F.15,"['hydroxide auxiliary subclass of minerals (Q13379369)', 'söhngeite mineral group (Q47007445)']",''I''m {{overline|3}},[[Cubic crystal system|Cubic]],,,,a = 7.9743(6)&nbsp;[[Ångström|Å]]; Z&nbsp;=&nbsp;8,
470,earlandite,60°,,17222803n,δ = 0.065,,[[Organic minerals]],,,,monoclinic crystal system (Q624543),,,,,,Transparent,,,,,,,,/g/121crrqt,,"1.80–1.95 (measured), 2.00 (calculated)",,Nodular,,grandfathered mineral (G) (Q13406846),,,,,,,,,Earlandite,Arthur Earland (Q21643577),10.AC.10,10.AC.10,Biaxial (+),,,n<sub>α</sub> = 1.515 <br>n<sub>β</sub> = 1.530 <br>n<sub>γ</sub> = 1.580,,Insoluble,,,White,white (Q23444),10.AC.15,IX/A.02,organic class of minerals (Q4335792),P {{overline|1}} (No. 2),[[Triclinic]],,,,"a = 5.9466(4), b = 10.2247(8) <br/>c = 16.6496(13)&nbsp;[Å]; Z&nbsp;=&nbsp;2",
471,edenite,50–82°,,,δ = 0.025,"Edenite crystal from Bancroft District, Ontario",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,Good on (110),,Edenite,monoclinic crystal system (Q624543),,,,Grundriss der Mineralogie mit Einschluss der Geognosie und Petrefactenkunde (Q57913100),"Amphibole, double chain inosilicate mineral",Semitransparent,,,science/edenite,,,Conchoidal,/m/0ddbhzj,,,3.05 - 3.37,,"Prismatic crystals, fibrous, as reaction rims on pyroxenes",IMA2012 s.p.,redefined mineral (Rd) (Q13406872),,1195.0,Vitreous,2780275419,,5–6,"{'amount': '+5.5', 'unit': '1', 'upperBound': '+6.0', 'lowerBound': '+5.0'}",834.25 g/mol,Edenite,Edenville (Q17251749),9.DE.15,9.DE.10,Biaxial (+),,"Distinct, greens, blue-greens, and yellow-browns","''n''<sub>α</sub> =  1.606 - 1.649, ''n''<sub>β</sub> = 1.617 - 1.660, ''n''<sub>γ</sub> = 1.631 - 1.672",tremolite (Q423051),,space group C2/m (Q104021301),,White,white (Q23444),9.DE.15,VIII/F.10,edenite rootname series (Q26231155),''C2/m'',[[Monoclinic]],Brittle,Simple or multiple parallel to {010},Edenville (Q17251749),"a = 9.83, b = 17.95 <br/>c = 5.3&nbsp;[Å], β = 105.18°; Z&nbsp;=&nbsp;2","Entity[""Mineral"", ""Edenite""]"
472,edingtonite,54 - 62°,,,δ = 0.016,"Edingtonite from Ice River Alkaline Complex, Golden Mining Division, British Columbia, Canada",[[Tectosilicate]],Perfect on [110],,Edingtonite,orthorhombic crystal system (Q648961),,,,"Description of edingtonite, a new mineral species (Q35087283)",,,r < v; strong,,,,,,/m/03cfv3w,,,2.73 - 2.78,,Prismatic pseudotetragonal crystals; massive.,,grandfathered mineral (G) (Q13406846),,,,2777626809,,4 - 4.5,,,Edingtonite,Thomas Edington (Q56598968),9.GA.15,9.GA.15,Biaxial (-),Pyroelectric and piezoelectric,,n<sub>α</sub> = 1.538 n<sub>β</sub> = 1.549 n<sub>γ</sub> = 1.554,,,,,,,9.GA.15,VIII/J.21,"zeolites with T₅O₁₀ units (fibrous zeolites, 9.GA.) (Q13402625)",,[[Orthorhombic crystal system|Orthorhombic]],,On [110] and [001],Strathclyde (Q124661),,"Entity[""Mineral"", ""Edingtonite""]"
473,edscottite,,,,,,,,,,monoclinic crystal system (Q624543),,,,,,,,,,,,,,/g/11fn46nr7d,,,,,IMA2018-086a,approved mineral and/or valid name (A) (Q13406835),,,,,,,,,,Edward R.D. Scott (Q54130677),,,,,,,,,,,,,,,carbide family of minerals (Q58887416),,,,,Wedderburn meteorite (Q61496886),,
474,efremovite,,,,,,Tetartoidal (23) <br/>[[H-M symbol]]: (23),None,,,cubic crystal system (Q473227),,28.4.4.3,,,,Transparent to nearly opaque,,,,,,Uneven,/m/07kfnzk,,,2.52 (calculated),,Equant grains and crusts,IMA1987-033a,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,,1355,2,,,Efremovite,,7.AC.10,7.AC.10,Isotropic,,,n = 1.550,,,,,,,7.AC.10,VI/A.03,langbeinite mineral group (Q3777722),,[[Cubic crystal system|Cubic]],,,Kopeysk (Q155148),a = 9.99&nbsp;Å; Z&nbsp;=&nbsp;2,"Entity[""Mineral"", ""Efremovite""]"
475,ekanite,10 - 15°,,,δ = 0.012,A Cut crystal of Ekanite,Trapezohedral (422) <br/>[[H-M symbol]]: (4 2 2),Distinct on {101},,,tetragonal crystal system (Q503601),,72.1.1.1,,,,Transparent to translucent,,,,,,"Brittle, uneven",/m/02qftbf,,,2.95 - 3.28,,"Pyramidal crystals, granular to massive",IMA1967 s.p.,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,2778538005,1361,4.5,,,Ekanite,human (Q5),9.EA.10,9.EA.10,Uniaxial (-),"[[Image:Radioactive.svg|25px]] [[Radioactive]], [[metamict]]",,n<sub>ω</sub> = 1.580 n<sub>ε</sub> = 1.568,,,space group I422 (Q13400828),,White,white (Q23444),9.EA.10,VIII/E.10,ekanite mineral group (Q3777602),''I''422,[[Tetragonal]],,,Ratnapura (Q508753),,
476,ekplexite,,,,,,"3''m'', 32 or {{overline|3}} ''m''","{001}, perfect",,,trigonal crystal system (Q588274),,,3.63,,,Opaque,,,,,,,,/g/11clyt58fh,,,,"micaceous flakes (may be arranged in chaotic or radiating aggregates), in lenticular nests",IMA2011-082,approved mineral and/or valid name (A) (Q13406835),,,Metallic,,,1,,,Ekplexite,surprise (Q333173),,,,,light gray to dark gray (strong),,,,"['space group P321 (Q15040799)', 'space group P3m1 (Q15040812)', 'space group P-3m1 (Q15040832)']",,,,,,valleriite mineral group (Q3777847),"P321, P3m1, P {{overline|3}} m1",[[Trigonal]],Flexible,,Mount Kaskasnyunchorr (Q23891512),"a = 3.79, c = 11.3&nbsp;[Å] (approximated) <br/>Z&nbsp;=&nbsp;2",
477,elbaite,,,,δ = 0.020,,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),Poor/indistinct on {1120} and {1011},,Elbaite,trigonal crystal system (Q588274),,61.3.1.8,2.9–3.2,Über die chemische Formel der Turmaline (Q108917685),,Transparent to opaque,,,,,,Sub-conchoidal,/m/06pdj9,,0100578,,,Prismatic; striated,,grandfathered mineral (G) (Q13406846),Elbaite,905.0,Vitreous,2778321852,1364,{{frac|7|1|2}},,,Elbaite,Elba (Q45328),9.CK.05,9.CK.05,Uniaxial (-),[[Piezoelectricity|piezoelectric]] and [[Pyroelectricity|pyroelectric]],,"n<sub>ω</sub> = 1.635–1.650, n<sub>ε</sub> = 1.615–1.632","['schorl (Q2411340)', 'dravite (Q2482759)']",,space group R3m (Q15040828),,White,white (Q23444),9.CK.05,VIII/E.19,tourmalines (Q179911),''R''3m,[[Trigonal]],,,San Piero in Campo (Q3947792),,"Entity[""Mineral"", ""Elbaite""]"
478,emmonsite,Measured: 23°,,,δ = 0.138 - 0.158,"Emmonsite. Locality: San Miguel Mine, [[Moctezuma, Sonora]], [[Mexico]] (size: 6.3 x 4.1 x 1.1&nbsp;cm)",Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,Perfect on {010}; good on {100} and {001},,Emmonsite,,,,,,,Opaque to translucent,,,,,,,/m/0ddglqf,,,4.52–4.55,,"Thin to hairlike crystals, occurring in rosettes and sprays; also fibrous globular aggregates and crusts",,grandfathered mineral (G) (Q13406846),,,Vitreous,,,5,,,Emmonsite,Samuel Franklin Emmons (Q2218260),4.JM.10,4.JM.10,Biaxial (-),,Weak,n<sub>α</sub> = 1.962 n<sub>β</sub> = 2.090 n<sub>γ</sub> = 2.100 - 2.120,,,,,,,4.JM.10,IV/K.09,"arsenite ""subclass""; [5,6] vanadates; iodates (Q2624432)",''P'' {{overline|1}},[[Triclinic]],,Noted,Tombstone (Q79873),"a = 7.90, b = 8.00 <br/>c = 7.62&nbsp;[Å]; α = 96.73°<br/>β = 95°, γ = 84.47°; Z&nbsp;=&nbsp;2","Entity[""Mineral"", ""Emmonsite""]"
479,empressite,,,,,"Empressite from Joe mine, Tombstone district",Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),None,,Empressite,orthorhombic crystal system (Q648961),,,,"Empressite, a new silver-tellurium mineral from Colorado (Q56864452)",,[[Opacity (optics)|Opaque]],,,,,,Uneven to subconchoidal,/m/0bwjn2,,,7.6,,Granular masses,IMA1964 s.p.,redefined mineral (Rd) (Q13406872),,,Metallic,,,3.5,,,Empressite,Empress Josephine mine (Q49410463),2.CB.80,2.CB.80,Opaque,,"Very strong, in gray to creamy white",,,,,,Gray-black to black,,2.CB.80,II/B.05,sulfide class of minerals (Q927407),''Pmnb'',[[Orthorhombic crystal system|Orthorhombic]],Brittle,,Empress Josephine mine (Q49410463),,"Entity[""Mineral"", ""Empressite""]"
480,enargite,,,,,,Pyramidal (mm2) <br/>[[H-M symbol]]: (mm2),"Perfect on {110}, distinct {100} and {010}",,Enargite,orthorhombic crystal system (Q648961),,3.2.1.1,,"['Granat Encyclopedic Dictionary (Q4532138)', 'Great Soviet Encyclopedia (1926–1947) (Q20078554)']",,Opaque,,7712.0,science/enargite,,,Uneven,/m/06zm16,,0101594,4.4 to 4.5,4935292,"Tabular to prismatic crystals, striated parallel to {001}; massive",,grandfathered mineral (G) (Q13406846),Enargite,305.0,Metallic to dull,2779053415,1380,3,,,Enargite,uniqueness (Q22976830),2.KA.05,2.KA.05,,,,,,,,enargitt,Black,black (Q23445),2.KA.05,II/C.14,sulfosalt subclass of minerals (Q416949),''P''mn2<sub>1</sub>,[[Orthorhombic]],Brittle,"Twin plane {320} common, rarely as interpenetrating pseudohexagonal trillings",,"a = 7.407(1), b = 6.436(1) <br/>c = 6.154(1)&nbsp;[Å]; Z&nbsp;=&nbsp;2","Entity[""Mineral"", ""Enargite""]"
481,enneasartorite,,,,,Enneasartorite with hendekasartorite. These minerals are very similar and often indistinguishable without advanced techniques.,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,,,Enneasartorite,monoclinic crystal system (Q624543),,,,,,,,,,,,,,/g/11clyt52sx,,,,,IMA2015-074,approved mineral and/or valid name (A) (Q13406835),,,,,,,,,Enneasartorite,"['sartorite series (Q22810911)', '9 (Q19108)']",,,,,,,,,space group P2₁/c (Q102054304),,,,,,sartorite series (Q22810911),''P''2<sub>1</sub>/c,[[Monoclinic]],,,Lengenbach quarry (Q16894103),"a = 37.62, b = 7.88 <br/>c = 20.07&nbsp;[Å]; β = 101.93° (approximated)",
482,enstatite,55–90°,300011085,00315530n,δ = 0.009–0.011,,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),Good/distinct on [210],,Enstatite,orthorhombic crystal system (Q648961),,65.1.2.1,,"['Granat Encyclopedic Dictionary (Q4532138)', 'Great Soviet Encyclopedia (1926–1947) (Q20078554)']",Pyroxene: magnesium-iron silicate with MgSiO3 and FeSiO3 end-members,Translucent to opaque,,7715.0,science/enstatite,,,Uneven,/m/04dy_s,,,3.2–3.3,4936125,"Prismatic crystals, commonly lamellar, fibrous, or massive",IMA1988 s.p.,approved mineral and/or valid name (A) (Q13406835),Enstatite,540.0,"Vitreous, pearly on cleavage",2777156721,,5 to 6,,{{chem molar mass|Mg|=|1|Si|=|1|O|=|3}},Enstatite,adversary (Q12829182),9.DA.05,9.DA.05,Biaxial (+),,Pale green to pale orange,n<sub>α</sub> = 1.650–1.668; n<sub>β</sub> = 1.652–1.673; n<sub>γ</sub> = 1.659–1.679,ferrosilite (Q4402339),,space group 61 (Q13400735),enstatitt,Gray,grey (Q42519),9.DA.05,VIII/F.02,pyroxenes (Q192880),''Pbca'',[[Orthorhombic]],Brittle,Simple and lamellar on [100],,"a = 18.23, b = 8.84 <br/>c = 5.19&nbsp;[Å]; Z&nbsp;=&nbsp;8","Entity[""Mineral"", ""Enstatite""]"
483,eosphorite,Measured: 50°,,,δ = 0.029 - 0.032,,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),Poor on {100},,Eosphorite,,,,,"On a new and remarkable mineral locality in Fairfield County, Connecticut. First Paper (Q30057194)",,Transparent to translucent,,,,,,Subconchoidal to uneven,/m/03cxxzy,,,3.06 – 3.08,,"Prismatic in radiating sprays or spheres, massive; twinned pseudo-orthorhombic",,grandfathered mineral (G) (Q13406846),,1542.0,"Vitreous, resinous",,,5,"{'amount': '+5', 'unit': '1'}",,Eosphorite,dawn (Q11326182),8.DD.20,8.DD.20,Biaxial (-),,Visible: X = yellow; Y = pink; Z = pale pink to colorless,n<sub>α</sub> = 1.628 - 1.639 n<sub>β</sub> = 1.648 - 1.664 n<sub>γ</sub> = 1.657 - 1.671,,,,,White,white (Q23444),8.DD.20,VII/D.14,phosphate class of minerals (Q3092395),''Cmca'',[[Orthorhombic]],,May be observed on {100} and {001},Fillow quarry (Q26812670),"a = 10.455(1), b = 13.501(2) <br/>c = 6.928(1)&nbsp;[Å]; β = 90°; Z&nbsp;=&nbsp;8","Entity[""Mineral"", ""Eosphorite""]"
484,ephesite,18° to 28°,,14434619n,δ = 0.033,,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,Perfect on {001},,Ephesite,,,,,"Memoir on Emery - Second Part - On the minerals associated with emery: corundum, hydrargillite, diaspore, zinc spinel, pholerite, ephesite (a new species),... (Q57188898)",,Translucent,r > v strong,,,,,,/m/0zmz2h8,,,2.984,,Flakes,IMA1998 s.p.,approved mineral and/or valid name (A) (Q13406835),,,"Vitreous, pearly on cleavage",,,3.5–4,,,Ephesite,Ephesus (Q47611),9.EC.20,9.EC.20,Biaxial (-),,,n<sub>α</sub> = 1.592 - 1.595 n<sub>β</sub> = 1.624 - 1.625 n<sub>γ</sub> = 1.625 - 1.627,,,,,,,9.EC.20,VIII/H.11,trioctahedral micas (Q108894446),''C2/c'' <br/> also reported is a triclinic polytype,[[Monoclinic]],Brittle,Commonly twinned about [310] or [3 {{overline|1}} 0],Ephesus (Q47611),"a = 5.12, b = 8.853 <br/>c = 19.303&nbsp;[Å]; beta = 95.08°; Z&nbsp;=&nbsp;4","Entity[""Mineral"", ""Ephesite""]"
485,epidote,,300011086,,δ = 0.019–0.046,Epidote crystals,Prismatic (2m) <br/><small>(same [[H-M symbol]])</small>,{001} perfect and {100} imperfect,,Epidote,monoclinic crystal system (Q624543),,58.2.1a.7,,"['Nordisk familjebok (Q678259)', 'Ottův slovník naučný (Q2041543)', 'Desktop Encyclopedic Dictionary (Q63284758)', 'Traité de Minéralogie (Q30129466)']",Sorosilicate mineral,Transparent to nearly opaque,,7719.0,science/epidote,epidotes,,Flat regular to uneven,/m/02tgtd,,0271868,3.3–3.6,,"Prismatic with striations, fibrous, massive",,grandfathered mineral (G) (Q13406846),Epidote,528.0,Vitreous to resinous,2778357522,1389,6–7,,,Epidote,addition (Q23009538),9.BG.05a,9.BG.05a,Biaxial (-),,Strong,n<sub>α</sub> = 1.715–1.751<br> n<sub>β</sub> = 1.725–1.784<br> n<sub>γ</sub> = 1.734–1.797,clinozoisite (Q418304),,space group P2₁/m (Q13365570),epidot,Greyish white,,,VIII/C.23,"['epidote mineral group (Q11607857)', 'epidote-törnebohmite series (Q24811973)']",''P''2<sub>1</sub>/m,[[Monoclinic]],,On [100],Le Bourg-d'Oisans (Q244679),,"Entity[""Mineral"", ""Epidote""]"
