Unnamed: 0	name	category	formula	strunz	system	symmetry	unit cell	color	cleavage	fracture	mohs	luster	opticalprop	streak	gravity	diaphaneity	refractive	class	birefringence	habit
378	Cornubite	Arsenate minerals	Cu<sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>	8.BD.30	Triclinic	''P'' {{overline|1}}		Light or dark green	Distinct in two directions		4	Vitreous	[[Birefringence|Biaxial]] (-)	Light green	4.64	Translucent to transparent	N<sub>α</sub> = 1.87, N<sub>β</sub> not determined, N<sub>γ</sub> = 1.90	Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>	r>v	Fibrous, botryoidal, globular or massive, also rare tabular crystals
379	Cornwallite	Arsenate mineral	Cu<sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>	8.BD.05	Monoclinic	''P2''<sub>1</sub>/c	a = 17.33&nbsp;Å, b = 5.82&nbsp;Å, <br/>c = 4.60&nbsp;Å; β = 92.22°; Z&nbsp;=&nbsp;2	Verdigis green, blackish-green, emerald-green	Distinct in one direction	Conchoidal	4.5	Sub-vitreous, resinous, waxy	Biaxial (+/-)	Apple green	4.17	Translucent to opaque	n<sub>α</sub> = 1.810 - 1.820 n<sub>β</sub> = 1.815 - 1.860 n<sub>γ</sub> = 1.850 - 1.880	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.040 - 0.060	Microcrystalline radial fibrous, botryoidal to globular crusts
380	Corundum	Oxide mineral  Hematite group	[[Aluminium oxide]], {{chem|[[Aluminium|Al]]|2|[[Oxygen|O]]|3}}	4.CB.05	Trigonal	{{mvar|R}} {{overline|3}} {{mvar|c}} (No. 167)	{{nowrap|mvar|a| |=| 4.75 Å}} , {{mvar|a}} {{=}} 4.75 Å {{nowrap|mvar|c| |=| 12.982 Å}} ; {{mvar|c}} {{=}} 12.982 Å {{nowrap|mvar|Z| |=| 6}} {{mvar|Z}} {{=}} 6	Colorless, gray, golden-brown, brown; purple, pink to red, orange, yellow, green, blue, violet; may be color zoned, asteriated mainly grey and brown	None – parting in 3 directions	Conchoidal to uneven	9 (defining mineral)	Adamantine to vitreous	Uniaxial (&minus;)	Colorless	3.95–4.10	Transparent, [[translucent]] to [[opacity (optics)|opaque]]	{{nowrap|mvar|n|sub|math|ω| |=| 1.767–1.772}} <br/> {{mvar|n}} {{sub|math|ω}} {{math|ω}} {{=}} 1.767–1.772 {{nowrap|mvar|n|sub|math|ε| |=| 1.759–1.763}} {{mvar|n}} {{sub|math|ε}} {{math|ε}} {{=}} 1.759–1.763	Hexagonal scalenohedral ( {{overline|3}} m)<br/>[[H-M symbol]]: ( {{overline|3}} 2/m)		Steep bipyramidal, tabular, prismatic, rhombohedral crystals, massive or granular
382	Covellite	Sulfide mineral	[[copper]] [[sulfide]]:[[copper monosulfide|CuS]]	2.CA.05a	Hexagonal crystal system,Hexagonal	''P''6<sub>3</sub>/mmc	a = 3.7938&nbsp;Å, c = 16.341&nbsp;Å; Z&nbsp;=&nbsp;6	Indigo-blue or darker, commonly highly iridescent, brass-yellow to deep red	Perfect on {0001}		1.5 - 2	Submetallic, inclining to resinous to dull	Uniaxial (+)	Lead gray	4.6 - 4.8	Opaque	n<sub>ω</sub> = 1.450 n<sub>ε</sub> = 2.620	Dihexagonal dipyramidal (6/mmm) <br/>[[H–M Symbol]] (6/m 2/m 2/m)		Thin platy hexagonal crystals and rosettes also massive to granular.
383	Coyoteite	Sulfide mineral	(NaFe<sub>3</sub>S<sub>5</sub>·2H<sub>2</sub>O)	2.FD.25	Triclinic  Unknown space group			black	{111} Perfect		1-1.5	Metallic		black	2.5 - 2.62 measured; 2.879 calculated	Opaque				Irregular grains - occurs as splotchy, anhedral crystals forming inclusions in other minerals
384	Creedite	Halide mineral	Ca<sub>3</sub>Al<sub>2</sub>(SO<sub>4</sub>)(F,OH)<sub>10</sub>•2(H<sub>2</sub>O)	3.CG.15	Monoclinic	''C2/c''	a = 13.91&nbsp;Å, b = 8.58&nbsp;Å, <br/>c = 10&nbsp;Å; β = 94.4°; Z&nbsp;=&nbsp;4	Colorless, white, violet, orange	Perfect on {100}	Conchoidal	3.5 - 4	Vitreous	Biaxial (-)	White	2.71	Transparent to translucent	n<sub>α</sub> = 1.461 n<sub>β</sub> = 1.478 n<sub>γ</sub> = 1.485	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.024	Generally appears as anhedral to subhedral in matrix; bladelike prismatic and radial, drusy to granular aggregates
385	Cristobalite	Oxide mineral, quartz group	SiO<sub>2</sub>	4.DA.15	Tetragonal	''P''4<sub>1</sub>2<sub>1</sub>2,  ''P''4<sub>3</sub>2<sub>1</sub>2	''a'' = 4.9709(1)&nbsp;Å, <br/>''c'' = 6.9278(2)&nbsp;Å; <br/>''Z''&nbsp;=&nbsp;4 (α polytype)	Colorless, white		Conchoidal	6–7	Vitreous	Uniaxial (−)	White	2.32–2.36	Transparent	''n''<sub>ω</sub> = 1.487 <br/>''n''<sub>ε</sub> = 1.484	Trapezohedral (422)	0.003	Octahedra or spherulites up to several cm large
386	Crocoite	Chromate minerals	Lead Chromate PbCrO<sub>4</sub>	7.FA.20	Monoclinic	''P2''<sub>1</sub>/n	a = 7.12&nbsp;Å, b = 7.421&nbsp;Å,<br />c = 6.8&nbsp;Å; β = 102.41°; Z&nbsp;=&nbsp;4	Orange, red, yellow; orange-red in transmitted light.	Distinct on {110} indistinct on {001} and {100}	Conchoidal to uneven	2.5–3	Adamantine, Sub-Adamantine, Sub-Vitreous, Resinous, Waxy	Biaxial (+)	Yellowish orange	5.9–6.1	Transparent to translucent	n<sub>α</sub> = 2.290(2) n<sub>β</sub> = 2.360(2) n<sub>γ</sub> = 2.660(2)	Prismatic (2/m)<br /><small>(same [[H-M symbol]])</small>	δ = 0.370	Coarsely crystalline to acicular
387	Cronstedtite	Silicate minerals	{{chem|Fe|2|2+|Fe|3+|(Si|,Fe|3+|O|5|)|(OH)|4}}	9.ED.15	Trigonal	''P31m'' (no. 157)	a = 5.486&nbsp;Å, <br/>c = 7.095&nbsp;Å; Z&nbsp;=&nbsp;1	Black, dark brown-black, green-black	Perfect on {001}			Sub-Metallic	Biaxial (-)	Dark olive green	3.34 - 3.35	Translucent	n<sub>α</sub> = 1.720 n<sub>β</sub> = 1.800 n<sub>γ</sub> = 1.800	Ditrigonal pyramidal (3m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.080	
388	Crookesite	Selenide mineral	{{chem|[[Copper|Cu]]|7|([[Thallium|Tl]]|, [[Silver|Ag]])|[[Selenium|Se]]|4}}	2.BD.50	Tetragonal	''I'' {{overline|4}}		Lead-gray	Good, two at right angles	Brittle	2.5–3	Metallic			6.90	Opaque		Disphenoidal ( {{overline|4}} ) <br/>[[H-M symbol]]: ( {{overline|4}} )		As finely divided, disseminated specks, and as small veinlets.
389	Crossite	Amphibole - Inosilicates	Na<sub>2</sub>(Mg,Fe)<sub>3</sub>(Al,Fe)<sub>2</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>					blue, blue-green			6			light blue						
390	Cryolite	Halide mineral	Na<sub>3</sub>AlF<sub>6</sub>	3.CB.15	Monoclinic	''P2''<sub>1</sub>/n	a = 7.7564(3)&nbsp;Å, <br/>b = 5.5959(2)&nbsp;Å, <br/>c = 5.4024(2)&nbsp;Å; β = 90.18°; Z&nbsp;=&nbsp;2	Colorless to white, also brownish, reddish and rarely black	None observed	Uneven	2.5 to 3	Vitreous to greasy, pearly on {001}	Biaxial (+)	White	2.95 to 3.0.	Transparent to translucent	n<sub>α</sub> = 1.3385–1.339, n<sub>β</sub> = 1.3389–1.339, n<sub>γ</sub> = 1.3396–1.34	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.001	Usually massive, coarsely granular.  The rare crystals are equant and pseudocubic
391	Cryptomelane	Oxide mineral	K(Mn<sup>4+</sup>,Mn<sup>2+</sup>)<sub>8</sub>O<sub>16</sub>	4.DK.10	Tetragonal	''I4/m''	a = 9.956&nbsp;Å, <br />b = 2.8705&nbsp;Å, <br/>c = 9.706&nbsp;Å; β = 90.95°; Z&nbsp;=&nbsp;1	Steel-gray to bluish gray; light tan or gray in reflected light		Conchoidal	6 – 6.5	Metallic to dull		Brownish black	4.17 – 4.41	Opaque		Dipyramidal (4/m) <br/>[[H-M symbol]]: (4/m)		Rare as subhedral crystals, commonly as compact fine-grained masses, banded colloform, botryoidal, or radial fibrous aggregates
392	Cubanite	Sulfide mineral	CuFe<sub>2</sub>S<sub>3</sub>	2.CB.55a	Orthorhombic	''Pcmn''	a = 6.467(1)&nbsp;Å, <br/>b = 11.117(1)&nbsp;Å, <br/>c = 6.231(2)&nbsp;Å; Z&nbsp;=&nbsp;4	Bronze to brass-yellow	Parting on {110} and {1 {{overline|3}} 0}	Conchoidal	3.5-4	Metallic	Distinctly anisotropic on polished surface	Black	4.0-4.2	Opaque		Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)		Crystals elongated to thick tabular, striated also massive
393	Cummingtonite	Inosilicate	{{chem|(Mg|,Fe|2+|)|2|(Mg|,Fe|2+|)|5|Si|8|O|22|(OH)|2}}	9.DE.05	Monoclinic	Monoclinic <br/>[[Space group]]: ''C2/m''	a = 9.53&nbsp;Å, b = 18.23&nbsp;Å, <br/>c = 5.32&nbsp;Å; β = 101.97°; Z&nbsp;=&nbsp;2	Dark green, brown, gray, beige; colorless to pale green in thin section	Good on {110} intersecting at 54 and 126°	Splintery	5–6	Vitreous to silky	Biaxial (+)		3.1–3.6	Translucent, will transmit light on thin edges.	n<sub>α</sub> = 1.639–1.671<br> n<sub>β</sub> = 1.647–1.689<br> n<sub>γ</sub> = 1.664–1.708	Prismatic (2/m) <br/>[[H-M symbol]]: (2/m)	δ = 0.025–0.037	Rarely as distinct crystals. Columnar to fibrous and granular
394	Cupalite	Native element class, alloy	{{chem|(Cu|,Zn|,Fe)|Al}}	1.AA.20	Orthorhombic  Unknown space group			Steel-gray yellow			4-4.5	Metallic			5.12 g/cm<sup>3</sup>					
395	Cuprite	Oxide mineral	Cu<sub>2</sub>O	4.AA.10	Cubic crystal system,Cubic	''P''n {{overline|3}} m	a = 4.2685&nbsp;Å; V = 77.77&nbsp;Å<sup>3</sup>; Z&nbsp;=&nbsp;2	Dark red to conchineal red, sometimes almost black	Fair in four directions forming octahedrons	Conchoidal to uneven	3.5 to 4	Adamantine, sub-metallic, earthy	Isotropic	Shining metallic brownish-red	6.14	Transparent, translucent	n = 2.849	Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m)		Cubic, octahedral, and dodecahedral crystals; as hairlike capillary forms, earthy, compact granular and massive
396	Cuprosklodowskite	Uranium mineral	Cu(UO<sub>2</sub>)<sub>2</sub>(HSiO<sub>4</sub>)<sub>2</sub>·6(H<sub>2</sub>O)	9.AK.10	Triclinic	''P'' {{overline|1}}	a = 7.052(5)&nbsp;Å, <br/>b = 9.267(8)&nbsp;Å, <br/>c = 6.655(5)&nbsp;Å; <br/>α = 109.23°, β = 89.84°,<br/> γ = 110.01°; Z&nbsp;=&nbsp;1	Yellowish to grass-green	On {100}	Uneven	4	Dull to silky in aggregates	Biaxial (-)	Greenish yellow	3.85	Transparent to translucent	n<sub>α</sub> = 1.654 - 1.655 n<sub>β</sub> = 1.664 - 1.667 n<sub>γ</sub> = 1.664 - 1.667	Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>	δ = 0.010 - 0.012	In radiating groups of [[Acicular (crystal habit)|acicular]] flattened or bladed needles or fibrous crusts
397	Cuprospinel	Oxide mineral  Spinel group	CuFe<sub>2</sub>O<sub>4</sub> or (Cu,Mg)Fe<sub>2</sub>O<sub>4</sub>	4.BB.05	Cubic crystal system,Isometric	Cubic <br/>[[Space group]]: ''F''d {{overline|3}} m		Black, gray in reflected light			6.5	Metallic	Isotropic	Black	5 - 5.2	Opaque	n = 1.8	Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m 3 2/m)		Irregular grains, laminae intergrown with hematite
398	Curite	Oxide mineral	Pb<sub>3</sub>(UO<sub>2</sub>)<sub>8</sub>O<sub>8</sub>(OH)<sub>6</sub>·3(H<sub>2</sub>O)	4.GB.55	Orthorhombic	''Pnam''	a = 12.551&nbsp;Å, b = 7.008&nbsp;Å, <br/>c = 6.983&nbsp;Å; Z&nbsp;=&nbsp;2	Yellow, reddish orange, brownish yellow.	{100}, imperfect		4-5	Adamantine	Biaxial (-)	Orange	6.98 - 7.4	Transparent	n<sub>α</sub> = 2.060 n<sub>β</sub> = 2.110 n<sub>γ</sub> = 2.150	Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)	.090	Massive, acicular, compact earthy.
399	Cuspidine	Sorosilicate	Ca<sub>4</sub>(Si<sub>2</sub>O<sub>7</sub>)(F,OH)<sub>2</sub>	9.BE.17	Monoclinic	''P''2<sub>1</sub>/c	a = 10.93&nbsp;Å, b = 10.57&nbsp;Å, <br/>c = 7.57&nbsp;Å; β = 110.11°; Z=4	Colorless, tan, light brown, pale red	Good on {001} imperfect on {110}	Uneven	5-6	Vitreous	Biaxial (+)		2.85-2.96	Transparent to translucent	n<sub>α</sub> = 1.586 - 1.594 n<sub>β</sub> = 1.589 - 1.596 n<sub>γ</sub> = 1.598 - 1.606	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.012	Minute spearhead-shaped crystals, acicular, granular
400	Cyanotrichite	Sulfate minerals	Cu<sub>4</sub>Al<sub>2</sub>[(OH)<sub>12</sub> SO<sub>4</sub>]·2H<sub>2</sub>O	7.DE.10	Monoclinic	''C2/m''	a = 10.16&nbsp;Å, b = 12.61&nbsp;Å, <br/>c = 2.9&nbsp;Å; Z&nbsp;=&nbsp;1	Sky-blue, azure-blue		Uneven	1-3	Silky	Biaxial (+)	Light blue	2.76	Transparent to translucent	n<sub>α</sub> = 1.588 n<sub>β</sub> = 1.617 n<sub>γ</sub> = 1.655	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.067	Acicular crystals and fibrous aggregates; incrustations
401	Cylindrite	Sulfosalt minerals	Pb<sub>3</sub>Sn<sub>4</sub>FeSb<sub>2</sub>S<sub>14</sub>	2.HF.25a	Triclinic			Lead grey, greyish black	Perfect on {100}		{{frac|2|1|2}}	Metallic		Black	5.4 - 5.42	[[Opacity (optics)|Opaque]]				[[Cylindrical]]
402	Cymrite	Phyllosilicate	BaAl<sub>2</sub>Si<sub>2</sub>(O,OH)<sub>8</sub>·(H<sub>2</sub>O)		Monoclinic	''Pm''	a = 5.32&nbsp;Å, b = 36.6&nbsp;Å, <br/>c = 7.66&nbsp;Å; β = 90°; Z&nbsp;=&nbsp;2	Brown, greenish, colorless	Perfect on {001}, good on {110}	Uneven	2-3	Silky, Vitreous	Biaxial (-)	White	3.49	Transparent to translucent	nα = 1.611 nβ = 1.619 nγ = 1.621	Domatic (m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.010	Micacious, sheet-like, pseudohexagonal, also fibrous
403	Cyrilovite	Phosphate mineral	NaFe<sup>3+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>·2(H<sub>2</sub>O)	8.DL.10	Tetragonal	''P''4<sub>1</sub>2<sub>1</sub>2		Bright yellow, honey-yellow, orange to brownish yellow, brown	None	Conchoidal	4	Vitreous	Uniaxial (-)	Yellow	3.081–3.096	Translucent	''n''<sub>ω</sub> = 1.802–1.805, ''n''<sub>ε</sub> = 1.769–1.775	Trapezohedral (422) <br/>[[H–M symbol]]: (422)	δ = 0.033	Massive, granular, pseudo cubic, radiating to botryoidal aggregates and crusts
405	Carnelian	Chalcedony variety	[[Silica]] (silicon dioxide, SiO<sub>2</sub>)		Trigonal			Brownish-red	Absent	Uneven, splintery, conchoidal	6–7	Vitreous, dull, greasy, silky		White	2.59–2.61	Translucent				
408	Chalcedony	Oxide minerals, quartz group	[[Silica]] (silicon dioxide, {{Chem|Si|O|2}} )		Trigonal or monoclinic			Various	Absent	Uneven, splintery, conchoidal	6–7	Waxy, vitreous, dull, greasy, silky		White	2.59–2.61	Translucent				
411	Chrysoprase		SiO<sub>2</sub>		Trigonal			Olive to applegreen	None	Conchoidal, granular	6.0–7.0	Greasy, waxy			2.651-2.91	Nearly opaque to nearly transparent			0.004-0.009	Microcrystalline aggregates
412	Quartz	silicate mineral	SiO<sub>2</sub>	4.DA.05 ([[oxide minerals|oxides]])	α-quartz Trigonal crystal system,trigonal  β-quartz Hexagonal crystal system,hexagonal	α-quartz: ''P3<sub>2</sub>21'' (no. 154) <br/>β-quartz: ''P6<sub>2</sub>22'' (no. 180)	a = 4.9133 [[Angstrom|Å]], c = 5.4053 Å; Z=3	Colorless through various colors to black	{0110} Indistinct	Conchoidal	7&nbsp;– lower in impure varieties (defining mineral)	Vitreous&nbsp;– waxy to dull when massive	[[Uniaxial crystal|Uniaxial]] (+)	White	2.65; variable 2.59–2.63 in impure varieties	Transparent to nearly opaque	n<sub>ω</sub> = 1.543–1.545 <br />n<sub>ε</sub> = 1.552–1.554	α-quartz: trapezohedral (class 3 2); β-quartz: trapezohedral (class 6 2 2)	+0.009 (B-G interval)	6-sided prism ending in 6-sided pyramid (typical), drusy, fine-grained to microcrystalline, massive
414	Chrysotile	Phyllosilicates Kaolinite-serpentine subgroup,serpentine group	[[Magnesium|Mg]] {{sub|3}} ([[Silicon|Si]] {{sub|2}} [[Oxygen|O]] {{sub|5}} )([[Hydroxide|OH]]) {{sub|4}} <br />(ideal)	9.ED.15	Monoclinic clinochrysotile most common smallOrthorhombic orthochrysotile and parachrysotile both raresmall	Clinochrysotile: ''C2/m''<br /><small>Orthochrysotile and parachrysotile: ''Ccm2''<sub>1</sub></small>		White to greyish green		Fibrous	2.5–3	Silky	Biaxial positive parallel extinction	White		Translucent	n<sub>α</sub> = 1.569, n<sub>γ</sub> = 1.570	Clinochrysotile: prismatic (2/m)<br /><small>Orthochrysotile and parachrysotile: pyramidal (mm2)</small>	0.001 (max)	Acicular
416	Riebeckite	Silicate mineral	Na<sub>2</sub>(Fe<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup><sub>2</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>		Monoclinic	''C2/m''	a = 9.76&nbsp;[[angstrom|Å]], b = 18.04&nbsp;Å <br/>c = 5.33&nbsp;Å; β = 103.59°; Z&nbsp;=&nbsp;2	Black, dark blue; dark blue to yellow-green in thin section	Perfect on {110}, intersecting at 56° and 124°; partings on {100} and {010}	Conchoidal to uneven	6	Vitreous to silky	Biaxial (-)	Pale to bluish gray	3.28–3.44	Semitransparent	n<sub>α</sub> = 1.680–1.698 n<sub>β</sub> = 1.683–1.700 n<sub>γ</sub> = 1.685–1.706	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.005–0.008	As prismatic crystals, commonly fibrous, asbestiform; earthy, massive
417	Chrysoberyl	Oxide minerals	BeAl<sub>2</sub>O<sub>4</sub>	4.BA.05	Orthorhombic	''Pbnm''	a = 5.481&nbsp;Å, <br/>b = 9.415&nbsp;Å, <br/>c = 4.428&nbsp;Å; Z&nbsp;=&nbsp;4	Various shades of green, emerald-green yellow, blue, brownish to greenish black, may be raspberry-red under incandescent light when chromian; colorless, pale shades of yellow, green, or red in transmitted light	Distinct on {110}, imperfect on {010}, poor on {001}	Conchoidal to uneven	8.5	Vitreous	Biaxial (+)	White	3.5–3.84		n<sub>α</sub>=1.745 n<sub>β</sub>=1.748 n<sub>γ</sub>=1.754	Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)		Crystals tabular or short prismatic, prominently striated
418	Danalite	Sodalite - Feldspathoid	Fe<sup>2+</sup><sub>4</sub>Be<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>S	9.FB.10	Isometric crystal system,Isometric	''P'' {{overline|4}} 3n		Yellow, pink, reddish brown, red: colorless to pink in [[thin section]]	{111} and {1 {{overline|1}} 1}	Subconchoidal to uneven	5.5 to 6	Vitreous or greasy	Isotropic	Grey white	3.28 - 3.46	Semitransparent	n = 1.747 - 1.771	Hextetrahedral ( {{overline|4}} 3m) <br/>[[H-M symbol]]: ( {{overline|4}} 3m)		Octahedral and dodecahedral crystals, typically massive or as segregations
419	Danburite	Silicate minerals,Tectosilicates	CaB<sub>2</sub>(SiO<sub>4</sub>)<sub>2</sub>	9.FA.65	Orthorhombic	''Pnam''	a = 8.038(3), b = 8.752(5) <br/>c = 7.73&nbsp;[Å]; Z&nbsp;=&nbsp;4	Colourless, white, gray, brownish white, straw yellow	{001} Poor	Subconchoidal to uneven	7 – 7.5	Vitreous – greasy	Biaxial (+/-)	White	2.93 - 3.02	Transparent to translucent	n<sub>α</sub> = 1.627 – 1.633 n<sub>β</sub> = 1.630 – 1.636 n<sub>γ</sub> = 1.633 – 1.639	Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)	δ = 0.006	Euhedral prismatic crystals; disseminated masses
420	Datolite	Nesosilicate	CaBSiO<sub>4</sub>(OH)	9.AJ.20	Monoclinic	''P''2<sub>1</sub>/c	a = 9.62, b = 7.6 <br/>c = 4.84&nbsp;[Å]; β = 90.15°; Z&nbsp;=&nbsp;4	Colorless or white; may be grayish, yellow, green, pale green, red, pink, etc.	None	Conchoidal to uneven	5 to 5.5	Vitreous, rarely subresinous on fracture surface	Biaxial (-)		2.96 – 3.00	Transparent to translucent, rarely opaque	n<sub>α</sub> = 1.626 n<sub>β</sub> = 1.653 - 1.654 n<sub>γ</sub> = 1.670	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.044	Crystal prismatic, short to tabular; Botryoidal or globular with columnar structure; granular to compact; cryptocrystalline
421	Daubréeite	Oxide mineral	{{chem|Bi|O|(|OH|,Cl)}}	3.DC.25	Tetragonal	''P''4/nmm	a = 3.85, c = 7.4&nbsp;[Å]; Z&nbsp;=&nbsp;2	Creamy-white, grayish, yellowish-brown	[{001}, perfect		2-2.5	Greasy, silky	Uniaxial (-)		6-6.5	Transparent to translucent	n<sub>ω</sub> = 2.150 n<sub>ε</sub> = 1.910	Ditetragonal dipyramidal (4/mmm) <br/>[[H-M symbol]]: (4/m 2/m 2/m)	δ = 0.240	Compact massive, columnar
422	Daubréelite	Sulfide mineral	Fe<sup>2+</sup>Cr<sup>3+</sup><sub>2</sub>S<sub>4</sub>	2.DA.05	Cubic crystal system,Cubic	''Fd3m''	a = 9.966&nbsp;Å; Z&nbsp;=&nbsp;8	Black	Distinct	Uneven	4.5-5	Metallic		Brown or black		Opaque		Hexoctahedral (m {{Overline|3}} m) <br/>[[H-M symbol]]: (4/m {{Overline|3}} 2/m)		Massive, platy aggregates, exsolution lamellae in [[troilite]]
423	Davidite-(La)	Oxide minerals	{{chem|(La|,Ce|,Ca)|(Y|,U)|(Ti|,Fe|3+|)|20|O|38}}	4.CC.40	Trigonal	''R'' {{overline|3}}	a = 10.376, c = 20.91&nbsp;[Å]; Z&nbsp;=&nbsp;3	Black		Subconchoidal to uneven	6	Vitreous			4.33 to 4.48	Opaque, translucent in very thin fragments		Rhombohedral ( {{overline|3}} ) <br/>[[H-M symbol]]: ( {{overline|3}} )		
424	Dawsonite	Carbonate mineral 	NaAlCO<sub>3</sub>(OH)<sub>2</sub>	5.BB.10	Orthorhombic crystal system,Orthorhombic	''Imam''		white	perfect on {110}	uneven	3	vitreous		white	2.436	transparent	''n<sub>α</sub> = 1.466<br/>''n''<sub>β</sub> = 1.542<br/>''n''<sub>γ</sub> = 1.596	Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)	''δ'' = 0.130	encrustations or radial
425	Delafossite	Oxide minerals	CuFeO<sub>2</sub>	4.AB.15	Trigonal	''R'' {{overline|3}} m	a = 3.04, c = 17.12&nbsp;[Å]; Z&nbsp;=&nbsp;3	Black	Imperfect on {10 {{overline|1}} 1}		5.5	Metallic	Uniaxial	Black	5.41	Opaque		Hexagonal scalenohedral ( {{overline|3}} m) <br/>[[H-M symbol]]: ( {{overline|3}} 2/m)		Tabular to equant crystals; botryoidal crusts, spherulitic, powdery, massive
426	Delvauxite	Phosphate minerals	{{chem|Ca|Fe|4|(P|O|4|,S|O|4|)|2|(OH)|8|•(4-6)H|2|O}}					Yellow to brown to dark brown												
427	Demesmaekerite	Oxide mineral	Pb<sub>2</sub>Cu<sub>5</sub>(UO<sub>2</sub>)<sub>2</sub>(SeO<sub>3</sub>)<sub>6</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O	4.JJ.20	Triclinic	''P'' {{Overline|1}}	a = 11.94 Å, b = 10.02 Å, c = 5.62 Å; α = 90°, β = 100°, γ = 91.91°	Green to olive green - turns brownish on dehydration	None		3-4		Biaxial (+)		5.28	Translucent, opaque	n<sub>α</sub> = 1.835 n<sub>γ</sub> = 1.910	Pinacoidal ( {{Overline|1}} ) <br/><small>(same [[H-M symbol]])</small>		Elongated, striated, typically in radial aggregates
428	Derriksite	Oxide minerals	Cu<sub>4</sub>(UO<sub>2</sub>)(SeO<sub>3</sub>)<sub>2</sub>(OH)<sub>6</sub>•H<sub>2</sub>O	4.JG.30	Orthorhombic	''P''n2<sub>1</sub>m		Bottle green, green	{???} perfect, {010} good						4.72	Translucent		Pyramidal (mm2) <br/>[[H-M symbol]]: (mm2)		
429	Descloizite	Vanadate mineral	(Pb,Zn)<sub>2</sub>VO<sub>4</sub>OH	8.BH.40	Orthorhombic	''Pnma'' (no. 62)	a = 7.593, b = 6.057 <br/>c = 9.416&nbsp;[Å]; Z&nbsp;=&nbsp;4	Brownish red, red-orange, reddish to blackish brown, nearly black	None	Irregular, sub-conchoidal	3 - 3.5	Greasy	Biaxial (-)	Orange to brownish red	6.1 - 6.2	Transparent to opaque	n<sub>α</sub> = 2.185 n<sub>β</sub> = 2.265 n<sub>γ</sub> = 2.350	Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)	δ = 0.165	Zoned tabular crystals common, encrustations and plumose aggregates
430	Devilline	Sulfate minerals	CaCu<sub>4</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·3(H<sub>2</sub>O)	7.DD.30	Monoclinic	''P''2<sub>1</sub>/c	a = 20.870, b = 6.135 <br/>c = 22.91&nbsp;[Å], β = 102.73° <br/>V = 2,861.23&nbsp;Å<sup>3</sup>	green, blueish green; green in transmitted light	perfect (001) distinct (110) and (101)		2.5	vitreous, pearly	biaxial negative	light green			n<sub>α</sub>=1.585, n<sub>β</sub>=1.649, n<sub>γ</sub>=1.660	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ=0.075	prismatic, lamellar, platy pseudohexagonal crystals
431	Diaboleite	Halide mineral	Pb<sub>2</sub>CuCl<sub>2</sub>(OH)<sub>4</sub>	3.DB.05	Tetragonal crystal system,Tetragonal	''P4mm''	a = 5.880, c = 5.500&nbsp;Å, Z&nbsp;=&nbsp;1	Blue	Perfect on {001}	Conchoidal	2.5	[[Adamantine luster|Adamantine]], pearly on cleavages	Uniaxial (-)	Pale blue		Transparent to translucent	n<sub>ω</sub> = 1.980, n<sub>ε</sub> = 1.850	Ditetragonal pyramidal (4mm) <br/>[[H-M symbol]]: (4mm)	δ = 0.130	As square tabular crystals, thin plates, massive
432	Diadochite	Phosphate minerals	Fe<sub>2</sub>(PO<sub>4</sub>)(SO<sub>4</sub>)OH·5H<sub>2</sub>O	8.DB.05																
