,Chemical Formula,Composition,Empirical Formula,Environment,IMA Status,Locality,Name Origin,Name Pronunciation,Synonym,Cell Dimensions,Cleavage,Color,Density,Diaphaneity,Fracture,Habit,Hardness,Luster,Fermion Index,Photoelectric,Radioactivity,Dana Class,Strunz Class,References,Mineral name,Streak,Gladstone-Dale,Optical Data
597, CaTh(PO4)2, Molecular Weight = 462.06 gm, CaTh(PO4)2," In a zoned granite pegmatite. The name brabantite (1980) has been discredited, cheralite having priority as name for members dominated by CaTh(PO4)2.", Discredited IMA 2006," In the Van der Made pegmatite, Brabant Farm, west of Itiro, Karibib district, Namibia. Link to MinDat.org Location Data."," For the Brabant Farm, Namibia, location of the pegmatite where the mineral was first found.", Brabantite + Pronunciation, Lingaitukuang," a = 6.726, b = 6.933, c = 6.447, Z = 2; beta = 103.883° V = 291.85 Den(Calc)= 5.26"," {100} Good, {001} Good"," Gray brown, Reddish brown.", 4.72, Transparent to Translucent,,, 5.5 - Knife Blade, Vitreous - Resinous," Fermion Index = 0.0002505634
Boson Index = 0.9997494366"," PEBrabantite =1,198.21 barns/electron
U=PEBrabantite x relectron=4,993.89 barns/cc.",," 38.04.03.04 (38)Anhydrous Phosphates, etc"," 08.AD.50 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( AntBidBlaNic4) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Brabantite,," CI meas= 0.127 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= 0.217 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1388,KPDmeas= 0.1547,KC= 0.1771
Ncalc = 1.84 - 1.93"," Biaxial (?), b=1.73"
598, Cr+++O(OH), Molecular Weight = 85.00 gm, CrO(OH), Adjacent to an incrusting ullmannite in oxidized hydrothermal base-metal deposits., Approved IMA 1967," Merume River Basin, Mazaruni, Guyana Link to MinDat.org Location Data."," Named after Smith Bracewell, Director of the British Guiana (now Guyana) Geological Survey.", Bracewellite + Pronunciation, ICSD 27517," a = 4.492, b = 9.86, c = 2.974, Z = 4; V = 131.72 Den(Calc)= 4.29",," Dark reddish brown, Reddish brown, Black."," 4.45 - 4.48, Average = 4.46", Translucent to Opaque,,, 5.5-6.5 - Knife Blade-Pyrite, Adamantine - Metallic," Fermion Index = 0.05
Boson Index = 0.95"," PEBracewellite = 13.79 barns/electron
U=PEBracewellite x rElectron Density= 57.08 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Bracewellite is Not Radioactive", 06.01.01.05 (06)Hydroxides and Oxides Containing Hydroxyl," 04.FD.10 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( AntBidBlaNic3) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990)",Bracewellite, dark brown,," NCalc= 2.27 - from Gladstone-Dale relationship (KC = 0.2953) where Ncalc=Dcalc*KC+1
NCalc= 2.32 - from Gladstone-Dale relationship (KC = 0.2953) where Ncalc=Dmeas*KC+1"
599," Pb2(Mn,Fe++)(VO4)2(OH)", Molecular Weight = 712.70 gm, Pb1.9Mn3+0.5Fe3+0.5Zn0.1(VO4)21.6(OH), Secondary mineral in the oxidized zone of hydrothermal Pb-Zn deposits., Valid Species (Pre-IMA) 1880," Venus, Agua del Rubio, Benvenida, Pilar, and Algarrobites mines, El Guaico District, Sierra de Cordoba, Argentina. Link to MinDat.org Location Data."," Named for Ludwig Brackebusch (1849-1906), Professor of Mineralogy, University of Cordoba, Cordove, Argentina.", Brackebuschite + Pronunciation, ICSD 76869," a = 8.88, b = 6.155, c = 7.681, Z = 2; beta = 111° V = 391.93 Den(Calc)= 6.04",," Dark brown, Black.", 6.05, Translucent to Opaque,, Wedge shaped - Crystals shaped like a wedge., 4-5 - Fluorite-Apatite, Sub Metallic," Fermion Index = 0.12
Boson Index = 0.88"," PEBrackebuschite = 984.80 barns/electron
U=PEBrackebuschite x rElectron Density=5,161.36 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brackebuschite is Not Radioactive"," 40.02.08.01 (40)Hydrated Phosphates, etc"," 08.BG.05 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( AntBidBlaNic4) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic4)",Brackebuschite, yellow," CI meas= -0.091 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.092 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2282,KPDmeas= 0.2278,KC= 0.2089
Ncalc = 2.26"," Biaxial (+), a=2.28, b=2.36-2.38, g=2.48-2.49, bire=0.2000-0.2100, 2V(Calc)=82-88, 2V(Meas)=~90. Dispersion r > v strong."
600, NaCu4(AsO4)3, Molecular Weight = 686.00 gm, Na1.2Cu3.7Zn0.1(AsO4)3, Fumarolic sublimate product. Alluaudite-wyllieite group; structure, Approved IMA 2000 (Dana # Added)," North Breach of the Tolbachik Great fissure eruption, Kamchatka Peninsula, Russia. Link to MinDat.org Location Data."," Named for Hans Bradaczek (1940-), crystallographer of the Free University of Berlin.",, IMA2000-002," a = 12.051, b = 12.434, c = 7.2662, Z = 4; beta = 117.942° V = 961.86 Den(Calc)= 4.74", None, Dark blue.,, Translucent,, Aggregates - Made of numerous individual crystals or clusters.,, Adamantine," Fermion Index = 0.0005251504
Boson Index = 0.9994748496"," PEBradaczekite = 38.93 barns/electron
U=PEBradaczekite x rElectron Density= 171.34 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Bradaczekite is Not Radioactive"," 38.02.04.06 (38)Anhydrous Phosphates, etc"," 08.AC.10 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( AmMin, Vol 87, p 765) PHYS. PROP.(AmMin, Vol 87, p 765) OPTIC PROP.(AmMin, Vol 87, p 765)",Bradaczekite, pale blue white," CI calc= -0.01 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1857,KC= 0.1839
Ncalc = 1.87"," Biaxial (-), a=1.76, b=1.92, g=1.96, bire=0.2000"
601, Na3Mg(PO4)(CO3), Molecular Weight = 248.25 gm, Na3Mg(PO4)(CO3), Rare mineral in oil shale in the Green River formation., Valid Species (Pre-IMA) 1941," John Hay, Jr. Well No.1, about 30 km west of Green River, Sweetwater County, Wyoming, USA. Link to MinDat.org Location Data."," Named for Wilmot Hyde Bradley (1899-1979), geologist, U.S. Geological Survey, who studied the Green River formation.", Bradleyite + Pronunciation,," a = 8.85, b = 6.63, c = 5.16, Z = 2; beta = 90.417° V = 302.76 Den(Calc)= 2.72",," Gray, Colorless, White.", 2.734, Transparent to Translucent,,, 3-4 - Calcite-Fluorite, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PEBradleyite = 1.31 barns/electron
U=PEBradleyite x rElectron Density= 3.49 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Bradleyite is Not Radioactive"," 43.02.01.01 (43)Compound Phosphates, etc.", 05.BF.10 05 - CARBONATES (NITRATES)," NAME( AntBidBlaNic4) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Bradleyite, white," CI meas= 0.007 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.002 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.193,KPDmeas= 0.192,KC= 0.1933
Ncalc = 1.53"," Biaxial (-), a=1.49, g=1.56, bire=0.0700"
602," (Pt,Pd,Ni)S", Molecular Weight = 186.91 gm, Pt0.6Pd0.3Ni0.1S," In norites occurring in layered mafic intrusives, formed at high magmatic temperatures.", Valid Species (Pre-IMA) 1932," From the Rustenburg and Potgietersrust districts, Bushveld Complex, Transvaal, South Africa. Link to MinDat.org Location Data."," To honor Sir William Henry Bragg (1862-1942) and Professor William Lawrence Bragg (1890-1971), pioneers in the X-ray investigations of crystals, as this is the first new mineral to be discovered by X-ray methods alone.", Braggite, ICSD 2585," a = 6.38, c = 6.57, Z = 8; V = 267.43 Den(Calc)= 9.28", None, Steel gray., 10, Opaque,,, 1.5 - Between Talc and Gypsum, Metallic," Fermion Index = 0.25
Boson Index = 0.75"," PEBraggite = 999.37 barns/electron
U=PEBraggite x rElectron Density=7,879.42 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Braggite is Not Radioactive", 02.08.05.03 (02)Sulfides - Including Selenides and Tellurides," 02.CC.35a 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( AntBidBlaNic1) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic1)",Braggite,,,
603," NaCu5(Ti,Sb)2O2(AsO4)4[AsO3(OH)]2•8H2O"," Molecular Weight = 1,574.79 gm", Na0.87Cu5.17Ti0.9Sb1.5O24(AsO4)0.98(AsO3OH)2·8(H2O), Secondary mineral formed by oxidation of primary enargite by Na- and Ti-rich fluids in an arid environment., Approved IMA 2006," Veta Negra, Laurani, Bolivia. Link to MinDat.org Location Data."," Named for Richard Braithwaite, University of Reading, United Kingdom.",, IMA2006-050," a = 7.0308, b = 9.8823, c = 10.6754, Z = 1; alpha = 106.973°, beta = 104.274°, gamma = 93.839° V = 685.98 Den(Calc)= 3.81",,,,,,,,," Fermion Index = 0.0037040949
Boson Index = 0.9962959051"," PEBraithwaiteite = 65.68 barns/electron
U=PEBraithwaiteite x rElectron Density= 237.20 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Braithwaiteite is Not Radioactive"," 39.02.07.03 (39)Hydrated Acid Phosphates, etc"," 08.DB.75 08 - PHOSPHATES, ARSENATES, VANADATES",,Braithwaiteite,,, NCalc= 1.66 - from Gladstone-Dale relationship (KC = 0.1706) where Ncalc=Dcalc*KC+1
604," (Ca,Na2)7(Ce,La)2B22O43•7(H2O)"," Molecular Weight = 1,623.88 gm", Ca5Na4Ce1.5La0.5B22O43•7(H2O), Marine evaporite deposits., Approved IMA 1968," Cane Creek potash mine, near Moab, Grand County, Utah, USA. Link to MinDat.org Location Data."," Named for Otto Braitsch (1921-1966), German mineralogist.", Braitschite-(Ce) + Pronunciation,," a = 12.156, c = 7.377, Z = 1; V = 944.04 Den(Calc)= 2.86",," Colorless, White, Pink.", 2.903, Transparent,, Platy - Sheet forms (e.g. micas).,, Vitreous (Glassy)," Fermion Index = 0.02
Boson Index = 0.98"," PEBraitschite-(Ce) = 82.82 barns/electron
U=PEBraitschite-(Ce) x relectron= 232.00 barns/cc.",, 26.07.06.01 (26)Hydrated Borates Containing Hydroxyl or Halogen, 06.HA.10 06 - BORATES," NAME( Dana8) PHYS. PROP.(Dana8) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Braitschite-(Ce), white," CI meas= -0.072 (Fair) - where the CI = (1-KPDmeas/KC)
CI calc= -0.088 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.226,KPDmeas= 0.2227,KC= 0.2078
Ncalc = 1.59 - 1.6"," Uniaxial (+), w=1.646, e=1.647, bire=0.0010."
605," (Na,H3O)(Al,Mg,Fe)2(Si,Al)4O10[(OH)2,(H2O)]", Molecular Weight = 391.86 gm, Na0.66(H3O)0.33AlMg0.6Fe2+0.1Si3AlO10(OH)2·(H2O), Believed to be a degradation product of paragonite. Group name for Interlayer-deficient clays., Not Approved IMA 1998," Landebie, Dyfed, Wales. Link to MinDat.org Location Data."," Named in 1943 for Alfred Brammall (1879-?), British gologist and mineralogist.", Brammallite + Pronunciation, Hydroparagonite," a = 5.12, b = 8.91, c = 19.26, Z = 4; beta = 95.83° V = 874.08 Den(Calc)= 2.98", {001} Perfect, White.," 2.83 - 2.88, Average = 2.85", Translucent," Earthy - Dull, clay-like fractures with no visible crystalline affinities, (e.g. howlite)."," Earthy - Dull, clay-like texture with no visible crystalline affinities, (e.g. howlite).", 2.5-3 - Finger Nail-Calcite, Earthy (Dull)," Fermion Index = 0.01
Boson Index = 0.99"," PEBrammallite = 1.83 barns/electron
U=PEBrammallite x rElectron Density= 5.23 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brammallite is Not Radioactive", 71.02.02d.04 (71)Phyllosilicate Sheets of Six-Membered Rings, 09.EC.25 09 - SILICATES (Germanates)," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Heinrich65)",Brammallite, white," CI meas= 0.065 (Fair) - where the CI = (1-KPDmeas/KC)
CI calc= 0.105 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1918,KPDmeas= 0.2002,KC= 0.2142
Ncalc = 1.61 - 1.64"," Biaxial (-), a=1.535-1.57, b=1.555-1.6, g=1.565-1.605, bire=0.0300-0.0350, 2V(Calc)=42-68, 2V(Meas)=5-25. Dispersion none."
606," Ca(Mg,Al)3(Al3Si)O10(OH)2", Molecular Weight = 415.81 gm, CaMg2.2Al0.7Al2.7Si1.3O10(OH)2, Serpentinized limestones and siliceous skarns near contact metamorphic zones., Valid Species (Pre-IMA) 1843," Amity, Warwick, Orange Co., New York, USA. Link to MinDat.org Location Data."," Named for De Witt Clinton (1769-1828), American statesman.",, Brandesite," a = 5.306, b = 9.135, c = 10.272, Z = 2; beta = 100.01° V = 490.31 Den(Calc)= 2.82", {001} Perfect," Colorless, Green, Yellow, Red, Reddish brown."," 3 - 3.1, Average = 3.05", Transparent to translucent, Brittle - Generally displayed by glasses and most non-metallic minerals., Radial - Crystals radiate from a center without producing stellar forms (e.g. stibnite), 4-5 - Fluorite-Apatite, Pearly," Fermion Index = 0.01
Boson Index = 0.99"," PEClintonite = 2.46 barns/electron
U=PEClintonite x rElectron Density= 7.46 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Clintonite is Not Radioactive", 71.02.02c.02 (71)Phyllosilicate Sheets of Six-Membered Rings, 09.EC.35 09 - SILICATES (Germanates)," NAME( Ford32) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic2)",Clintonite, colorless," CI meas= -0.016 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= -0.099 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.232,KPDmeas= 0.2145,KC= 0.2111
Ncalc = 1.6 - 1.65"," Biaxial (-), a=1.643-1.648, b=1.655-1.662, g=1.655-1.663, bire=0.0120-0.0150, 2V(Calc)=0-28, 2V(Meas)=2-40. Dispersion none."
607, Mg[Sb(OH)6]2•6(H2O)," Molecular Weight = 1,027.57 gm", Mg2(Sb2)2(OH)12•6(H2O)," An alteration of stibnite in the oxidation zone with ""antimony-ochers"" and stibnite. Mg-dominant analogue of bottinoite", Approved IMA 1998 (Dana # Added)," Schmidten-Schacht and Jakobi-Schacht (pits) of the master lode in the former Brandholz-Groldkronach mining district in the western part of the Fichtelgebirge, Bavaria, Germany. Link to MinDat.org Location Data.", Named after the locality.,, ICSD 89819," a = 16.114, c = 9.863, Z = 6; V = 2,217.92 Den(Calc)= 4.62",, Colorless.,, Transparent,,,, Vitreous (Glassy)," Fermion Index = 0.0025947885
Boson Index = 0.9974052115"," PEBrandholzite = 145.76 barns/electron
U=PEBrandholzite x rElectron Density= 644.87 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brandholzite is Not Radioactive", 06.03.09.02 (06)Hydroxides and Oxides Containing Hydroxyl," 04.FH.05 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( MinRec, v 32, p 210) PHYS. PROP.(MinRec, v 32, p 210) OPTIC PROP.(MinRec, v 32, p 210)",Brandholzite, white," CI calc= 0.417 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1233,KC= 0.2115
Ncalc = 1.98"," Uniaxial (-), e=1.569, w=1.57, bire=0.0010."
608," Ca2(Mn,Mg)(AsO4)2•2(H2O)", Molecular Weight = 441.30 gm, Ca2Mn2+0.75Mg0.25(AsO4)2•2(H2O),, Valid Species (Pre-IMA) 1888," Harstig mine, Pajsberg near Persberg, Varmland, Sweden. Link to MinDat.org Location Data."," Named for Georg Brandt (1694-1768), Swedish chemist.", Brandtite + Pronunciation, ICSD 36235," a = 5.899, b = 12.968, c = 5.684, Z = 2; beta = 108.05° V = 413.42 Den(Calc)= 3.54"," {010} Perfect, {001} Good"," Colorless, White.", 3.67, Transparent to Translucent,, Striated - Parallel lines on crystal surface or cleavage face., 3.5 - Copper Penny, Vitreous (Glassy)," Fermion Index = 0.0017974823
Boson Index = 0.9982025177"," PEBrandtite = 27.68 barns/electron
U=PEBrandtite x rElectron Density= 97.49 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brandtite is Not Radioactive"," 40.02.03.02 (40)Hydrated Phosphates, etc"," 08.CG.10 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Dana8)",Brandtite, white," CI meas= -0.005 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= -0.042 (Good) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.202,KPDmeas= 0.1949,KC= 0.1938
Ncalc = 1.69 - 1.71"," Biaxial (+), a=1.707-1.709, b=1.711, g=1.724-1.729, bire=0.0170-0.0200, 2V(Calc)=38-60, 2V(Meas)=23. Dispersion r < v strong."
609," (U,Ca,Ce)(Ti,Fe)2O6", Molecular Weight = 354.80 gm, U0.5Ca0.3Ce0.2Ti1.5Fe2+0.5O6, Found in gold placers., Valid Species (Pre-IMA) 1920," Kelly Gulch, Custer County, Idaho. Stanley Basin, Wyoming. USA. Link to MinDat.org Location Data."," Named after the American geologist, G. Branner (1850-1922).", Brannerite + Pronunciation, ICSD 201342," a = 8.9, b = 3.8, c = 6.99, Z = 2; beta = 104.75° V = 228.61 Den(Calc)= 5.15", None," Brown, Brown green, Yellow, Yellow brown, Black."," 4.5 - 6.35, Average = 5.42", Opaque to subtranslucent, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern., Prismatic - Crystals Shaped like Slender Prisms (e.g. tourmaline)., 4-5 - Fluorite-Apatite, Adamantine - Resinous," Fermion Index = 0.03
Boson Index = 0.97"," PEBrannerite = 904.35 barns/electron
U=PEBrannerite x relectron=4,358.53 barns/cc.",," 08.03.04.01 (08)Multiple Oxides with Nb, Ta, and Ti"," 04.DH.05 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( Duda&Rejl90) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic3)",Brannerite, dark greenish brown," CI meas= -0.094 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.153 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2456,KPDmeas= 0.2332,KC= 0.2131
Ncalc = 1.96 - 2.35"," Isotropic, n=2.23-2.3."
610, KSn2Li3Si12O30," Molecular Weight = 1,114.35 gm", KSn2Li3Si12O30,, Approved IMA 1973," Foote Mineral Co. mine in Kings Mountain, Cleveland County., North Carolina, USA. Link to MinDat.org Location Data."," Named for Dr. Kent C. Brannock, Chemist, Kingsport, TN.", Brannockite + Pronunciation, ICSD 202622," a = 10.002, c = 14.263, Z = 2; V = 1,235.71 Den(Calc)= 2.99", None, Colorless., 2.98, Transparent, Brittle - Generally displayed by glasses and most non-metallic minerals.,, 5-6 - Between Apatite and Orthoclase, Vitreous (Glassy)," Fermion Index = 0.05
Boson Index = 0.95"," PEBrannockite = 62.57 barns/electron
U=PEBrannockite x relectron= 179.36 barns/cc.","
GRapi = 48.70 (Gamma Ray American Petroleum Institute Units)
Concentration of Brannockite per GRapi unit = 2.05 (%)
Estimated Radioactivity from Brannockite - barely detectable", 63.02.01a.01 (63)Cyclosilicate Condensed Rings, 09.CM.05 09 - SILICATES (Germanates)," PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Brannockite, white," CI meas= 0.02 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= 0.023 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1895,KPDmeas= 0.1901,KC= 0.1939
Ncalc = 1.58"," Uniaxial (-), e=1.566, w=1.567, bire=0.0010."
611, Cu3Zn2, Molecular Weight = 321.42 gm, Cu3Zn2, Base metal ore bodies containing copper and zink sulfides where partial oxidation can create the mineral., Not Approved IMA, Link to MinDat.org Location Data., Named as an alloy of copper and zinc.,, Laiton,,, Yellow.,, Opaque,,,, Metallic," Fermion Index = 0.01
Boson Index = 0.99"," PEBrass = 48.42 barns/electron
U=PEBrass x rElectron Density= . barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brass is Not Radioactive", 01.01.06.00 (01)Native Elements," 01.AB.10a 01 - ELEMENTS (Metals and intermetallic alloys; metalloids and nonmetals; carbides, silicides, nitrides, phosphides)"," NAME( Athena) PHYS. PROP.(Am.Min.,Vol.77,p446,1992)",Brass,,,
612, Mg(AsO3OH)•4(H2O), Molecular Weight = 236.29 gm, Mg(AsO3OH)•4(H2O), A rare reaction product of arsenic-rich solutions with Ca-Mg carbonates., Approved IMA 1973," From Jachymov (Joachimsthal), Czech Republic. Link to MinDat.org Location Data."," Honoring Rejane Brasse, who first synthesized the compound.", Brassite, ICSD 78," a = 7.472, b = 10.891, c = 16.585, Z = 8; V = 1,349.65 Den(Calc)= 2.33", {001} Perfect, White., 2.28,,,,,," Fermion Index = 0.01
Boson Index = 0.99"," PEBrassite = 20.91 barns/electron
U=PEBrassite x rElectron Density= 48.66 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brassite is Not Radioactive"," 39.01.07.01 (39)Hydrated Acid Phosphates, etc"," 08.CE.15 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( AntBidBlaNic4) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Brassite, white," CI meas= -0.044 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= -0.021 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2345,KPDmeas= 0.2396,KC= 0.2296
Ncalc = 1.52 - 1.53"," Biaxial (+), a=1.531, b=1.546, g=1.562, bire=0.0310"
613, Mn++Mn+++6SiO12, Molecular Weight = 604.64 gm, Mn2+Mn3+6SiO12, Manganese oxide mineral deposits. Metamorphic and secondary weathering environments, Valid Species (Pre-IMA) 1831," Metamorphic, hydrothermal, and sedimentary rocks. Link to MinDat.org Location Data."," Named after K. Braun (1790-1872) from Gotha, Germany.", Braunite-I,," a = 9.38, c = 18.67, Z = 8; V = 1,642.67 Den(Calc)= 4.89", {111} Perfect," Grayish black, Brownish gray, Dark brownish black."," 4.72 - 4.82, Average = 4.76", Opaque, Brittle - Generally displayed by glasses and most non-metallic minerals., Massive - Uniformly indistinguishable crystals forming large masses., 6-6.5 - Orthoclase-Pyrite, Sub Metallic," Fermion Index = 0.0023216105
Boson Index = 0.9976783895"," PEBraunite-I = 16.86 barns/electron
U=PEBraunite-I x rElectron Density= 77.73 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Braunite-I is Not Radioactive", 07.05.01.01 (07)Multiple Oxides, 09.AG.05 09 - SILICATES (Germanates)," NAME( Duda&Rejl90) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990)",Braunite-I, brownish gray black,," NCalc= 2.37 - from Gladstone-Dale relationship (KC = 0.2796) where Ncalc=Dcalc*KC+1
NCalc= 2.33 - from Gladstone-Dale relationship (KC = 0.2796) where Ncalc=Dmeas*KC+1"
614, Mn++Mn+++6SiO12, Molecular Weight = 604.64 gm, Mn2+Mn3+6SiO12, Manganese oxide mineral deposits. Metamorphic and secondary weathering environments, Not Approved IMA 1967," Metamorphic, hydrothermal, and sedimentary rocks. Link to MinDat.org Location Data."," Named after K. Braun (1790-1872) from Gotha, Germany.", Braunite-II,," a = 9.38, c = 18.67, Z = 8; V = 1,642.67 Den(Calc)= 4.89", {111} Perfect," Grayish black, Brownish gray, Dark brownish black."," 4.72 - 4.82, Average = 4.76", Opaque, Brittle - Generally displayed by glasses and most non-metallic minerals., Massive - Uniformly indistinguishable crystals forming large masses., 6-6.5 - Orthoclase-Pyrite, Sub Metallic," Fermion Index = 0.0023216105
Boson Index = 0.9976783895"," PEBraunite-II = 16.86 barns/electron
U=PEBraunite-II x rElectron Density= 77.73 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Braunite-II is Not Radioactive", 07.05.01.03 (07)Multiple Oxides, 09.AG.05 09 - SILICATES (Germanates)," NAME( Duda&Rejl90) PHYS. PROP.(Bull.Miner.,Vol.107-111,1984-1988)",Braunite-II, brownish gray black,," NCalc= 2.37 - from Gladstone-Dale relationship (KC = 0.2796) where Ncalc=Dcalc*KC+1
NCalc= 2.33 - from Gladstone-Dale relationship (KC = 0.2796) where Ncalc=Dmeas*KC+1"
615," (Fe,Ni,Co)S2", Molecular Weight = 120.86 gm, Fe2+0.7Ni0.2Co0.1S2, Nickel-rich variety of pyrite which is gray in color., Discredited IMA 1989 - Valid Species (Pre-IMA) 1907," Gey, Rhineland-Palatinate, Germany. Link to MinDat.org Location Data."," Named for J. J. Bravo (1874-1928), Peruvian scientist.", Bravoite, ICSD 40329," a = 5.58, Z = 4; V = 173.74 Den(Calc)= 4.62", None, Steel gray.," 5 - 5.02, Average = 5.01", Opaque," Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz).", Striated - Parallel lines on crystal surface or cleavage face., 6.5 - Pyrite, Metallic," Fermion Index = 0.01
Boson Index = 0.99"," PEBravoite = 18.13 barns/electron
U=PEBravoite x rElectron Density= 81.10 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Bravoite is Not Radioactive", 02.00.00.00 (02)Sulfide Minerals," 02.XX.00 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf", NAME( Duda&Rejl90) PHYS. PROP.(Sinkankas66) OPTIC PROP.(AntBidBlaNic1),Bravoite, black,,
616, NaAl3(PO4)2(OH)4, Molecular Weight = 361.91 gm, NaAl3(PO4)2(OH)4,, Valid Species (Pre-IMA) 1945, Link to MinDat.org Location Data., Named after its first discovery in Brazil., Brazilianite + Pronunciation, ICSD 2086,,," Colorless, Greenish yellow, Yellow green, Light yellow.",,,,,,," Fermion Index = 0.0002563129
Boson Index = 0.9997436871"," PEBrazilianite = 1.59 barns/electron
U=PEBrazilianite x rElectron Density= 4.72 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Brazilianite is Not Radioactive"," 41.05.07.01 (41)Anhydrous Phosphates, etc. Containing Hydroxyl or Halogen"," 08.BK.05 08 - PHOSPHATES, ARSENATES, VANADATES",,Brazilianite,," CI meas= 0.021 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= 0.04 (Good) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.201,KPDmeas= 0.205,KC= 0.2094
Ncalc = 1.62 - 1.64",
