,name,image,caption,category,formula,strunz,system,dana,class,symmetry,unit cell,habit,cleavage,mohs,luster,opticalprop,refractive,birefringence,streak,density,diaphaneity,impurities,colour,post_town,var6text,postcode_district,polish,population,unitary_scotland,diagnostic,melt,death_place,birth_place,field,var1,var4,official_name,dispersion,coordinates,static_image_caption,country,fluorescence,color,boxtextcolor,known_for,solubility,lieutenancy_scotland,alteration,var3text,constituency_scottish_parliament,birth_date,count,other,residence,var5,twinning,image_size,imagesize,alt,fusibility,fracture,tenacity,var6,os_grid_reference,var1text,var5text,molweight,gravity,death_date,absorption,var4text,postcode_area,prop1,pleochroism,prop1text,var3,constituency_westminster,lustre,2V,boxwidth,boxes,boxbgcolor,var2text,references,var2
34,Uranophane,Uranophane.jpg,,Uranyl neso- and polysilicates,Ca(UO<sub>2</sub>)<sub>2</sub>[HSiO<sub>4</sub>]<sub>2</sub>&middot;5H<sub>2</sub>O,9.AK.15,[[Monoclinic]],,Sphenoidal (2) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>,"a = 15.85&nbsp;[[Ångström|Å]], b = 6.98&nbsp;Å <br/>c = 6.64&nbsp;Å; β = 97.45°; Z&nbsp;=&nbsp;2","Crystals occur as stellate needle aggregates;  as fibrous crusts, and massive",{100} Perfect,2.5,Vitreous to pearly; waxy or dull when massive,Biaxial (-),n<sub>α</sub> = 1.643 n<sub>β</sub> = 1.666 n<sub>γ</sub> = 1.669,δ = 0.026,Yellowish white,,Translucent to subtranslucent,,,,,,,,,,,,,,,,,,,,,Weak yellow-green under both short and long UV,"Light yellow, lemon-yellow, honey-yellow, straw-yellow, green-yellow",,,,,,,,,,[[Image:Radioactive.svg|25px]] [[Radioactive]],,,,,260px,,,Uneven,Brittle,,,,,586.36 g/mol,3.81 - 3.90,,,,,,Weak; X = colorless; Y = pale canary-yellow; Z = canary-yellow,,,,,"32° to 45°, measured",,,,,,
35,Sklodowskite,Sklodowskite-Gypsum-176753.jpg,Sklodowskite on [[gypsum]],Nesosilicate,Mg(UO<sub>2</sub>)<sub>2</sub>(HSiO<sub>4</sub>)<sub>2</sub>·5H<sub>2</sub>O,9.AK.10,[[Monoclinic]],,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''C2/m'',,,Perfect <br/>on {100},2 - 3,,,,,Yellow,3.54&nbsp;g/cm<sup>3</sup>,"Transparent, translucent",,Light yellow to green-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Image:Radioactive.svg|25px]] [[Radioactive]],,,,,,,,,,,,,,,,,,,,,,,,,"Adamantine, vitreous, silky",,,,#e8cd14,,,
36,Cuprosklodowskite,Cuprosklodowskite-27211.jpg,"Cuprosklodowskite,  [[Musonoi mine]], [[Kolwezi]], [[Lualaba District]], Democratic Republic of the Congo {3.6 x 2.7 x 2.2 cm}",[[Uranium]] mineral,Cu(UO<sub>2</sub>)<sub>2</sub>(HSiO<sub>4</sub>)<sub>2</sub>·6(H<sub>2</sub>O),9.AK.10,[[Triclinic]],,Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,''P'' {{overline|1}},"a = 7.052(5)&nbsp;Å, <br/>b = 9.267(8)&nbsp;Å, <br/>c = 6.655(5)&nbsp;Å; <br/>α = 109.23°, β = 89.84°,<br/> γ = 110.01°; Z&nbsp;=&nbsp;1",In radiating groups of [[Acicular (crystal habit)|acicular]] flattened or bladed needles or fibrous crusts,On {100},4,Dull to silky in aggregates,Biaxial (-),n<sub>α</sub> = 1.654 - 1.655 n<sub>β</sub> = 1.664 - 1.667 n<sub>γ</sub> = 1.664 - 1.667,δ = 0.010 - 0.012,Greenish yellow,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,Yellowish to grass-green,,,,,,,,,,[[Image:Radioactive.svg|25px]] [[Radioactive]],,,Twice a year,,260px,,,Uneven,,,,,,,3.85,,,,,,X = nearly colorless; Y = Z = yellowish green,,,,,,,,#96dd67,,,
37,Boltwoodite,Boltwoodite-69288.jpg,Acicular crystals of umber-yellow boltwoodite from Namibia (size: 1.8 x 1.7 x 1.4 cm),[[Uranium]] [[silicate mineral]],HK(UO<sub>2</sub>)(SiO<sub>4</sub>)·1.5(H<sub>2</sub>O),9.AK.15,[[Monoclinic]],,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P2''<sub>1</sub>/m,"a = 7.073(2)&nbsp;Å, <br/>b = 7.064(1)&nbsp;Å, <br/>c = 6.638(1)&nbsp;Å; <br/>β = 105.45°; Z&nbsp;=&nbsp;2","Elongated crystals, acicular to fibrous","Perfect on {010}, imperfect on {001}",3.5 - 4,"Silky to vitreous, dull or earthy in aggregates",Biaxial (-),n<sub>α</sub> = 1.668 - 1.670 n<sub>β</sub> = 1.695 - 1.696 n<sub>γ</sub> = 1.698 - 1.703,δ = 0.030 - 0.033,White,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,Fluoresces dull green in both SW and LW UV,"Pale yellow, orange yellow",,,,,,,,,,[[Image:Radioactive.svg|25px]] [[Radioactive]],,,,,260px,,,,Brittle,,,,,,4.7,,,,,,"Weak, X= colorless Y=Z= yellow",,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Datolite,Datolite-rom25c.jpg,"Datolite on sphalerite from San Luis Potosí, Mexico (size: 6.2 x 5.3 x 2.8 cm)",[[Nesosilicate]],CaBSiO<sub>4</sub>(OH),9.AJ.20,[[Monoclinic]],,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/c,"a = 9.62, b = 7.6 <br/>c = 4.84&nbsp;[Å]; β = 90.15°; Z&nbsp;=&nbsp;4","Crystal prismatic, short to tabular; Botryoidal or globular with columnar structure; granular to compact; cryptocrystalline",None,5 to 5.5,"Vitreous, rarely subresinous on fracture surface",Biaxial (-),n<sub>α</sub> = 1.626 n<sub>β</sub> = 1.653 - 1.654 n<sub>γ</sub> = 1.670,δ = 0.044,,,"Transparent to translucent, rarely opaque",,,,,,,,,,,,,,,,,r > v; weak,,,,Fluoresces blue under SW UV,"Colorless or white; may be grayish, yellow, green, pale green, red, pink, etc.",,,,,,,,,,,,,,,260px,,,Conchoidal to uneven,Brittle,,,,,,2.96 – 3.00,,,,,,,,,,,Measured: 74°,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Bakerite,Bakerite.jpg,Bakerite sample,[[Nesosilicate]],Ca<sub>4</sub>B<sub>4</sub>(BO<sub>4</sub>)(SiO<sub>4</sub>)<sub>3</sub>(OH)<sub>3</sub>·H<sub>2</sub>O,9.AJ.20,[[Monoclinic]],,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/c,"a = 4.85&nbsp;Å, <br/>b = 7.627&nbsp;Å, <br/>c = 9.659&nbsp;Å; β = 90.255°; Z&nbsp;=&nbsp;1",,,{{frac|4|1|2}},"Vitreous, dull",Biaxial (-),n<sub>α</sub> = 1.624 n<sub>β</sub> = 1.635 n<sub>γ</sub> = 1.654,δ = 0.030,,,Translucent,,,,,,,,,,,,,,,,,,,,,,"Colorless, white",,,,,,,,,,,,,,,260px,,,,,,,,,,2.88,,,,,,,,,,,Measured: 87° to 88°,,,,,,
45,Gadolinite,Gadolinitas.jpg,Gadolinite (black portion at top),[[Nesosilicate]],"{{chem2|(Ce,La,Nd,Y)2FeBe2Si2O10}}",9.AJ.20,[[Monoclinic]],,Prismatic (2/m) <br /><small>(same [[H-M symbol]])</small>,''P2''<sub>1</sub>/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260px,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Pyrope,Pyrope-260132.jpg,,[[Nesosilicate]],Mg<sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,9.AD.25,[[Cubic crystal system|Cubic]],,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),''Ia'' {{overline|3}} d,,"[[Euhedral|Euhedra]] typically display [[Rhombic dodecahedron|rhombic dodecahedral]] form, but [[Trapezohedron|trapezohedra]] are not uncommon, and hexoctahedra are seen in some rare samples. Massive and granular forms also occur.",None,7 – 7.5,greasy to vitreous,"Single refractive, often anomalous double refractive","1.74 normal, but ranges from 1.714 to over 1.742","[[Isotropy|Isotropic]], appears black in cross-polarized light",White,,,,,,,,vitreous,,,,,,,,,,,,,,,inert,"Blood red to black red, red, orange red, pink,  some varieties are very dark, almost black, while others can take tones of purple to purple red, Some [[chromium]]-rich pyropes are [[thermochromic]], becoming green when heated.",,,"Insoluble in water, weakly soluble in [[Hydrofluoric acid|HF]]",,,,,,,,,,,,,,,[[Conchoidal fracture|Conchoidal]],,,,,,,3.78 (+.09 -.16),,broad band at 564nm with cutoff at 440 to 445nm. Fine gem quality pyropes may show [[chromium]] lines in the red end of the spectrum,,,Mineral association,none,"[[Olivine]], [[pyroxene]], [[hornblende]], [[biotite]], [[diamond]]",,,,,,,,,,
58,Almandine,Almandin.jpg,,[[Nesosilicate]],Fe<sup>2+</sup><sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,9.AD.25,[[Cubic crystal system|Cubic]],,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),''I''a {{overline|3}} d,,,none,7 - 7.5,greasy to vitreous,"Single refractive, and often anomalous double refractive",1.790 (+/- .030),none,white,,,,,,,,vitreous to subadamantine,,,,,,,,,,,.024,,,,inert,"reddish orange to red, slightly purplish red to reddish purple and usually dark in tone",,,,,,,,,,,,,,,300px,,,conchoidal,,,,,,,"4.05 (+.25, -.12)",,"usually at 504, 520, and 573nm, may also have faint lines at 423, 460, 610 and 680-690nm",,,,none,,,,,,,,#5c4342,,,
59,Spessartine,Spessartine sur quartz fumé.jpg,Spessartine crystals on larger quartz crystals from China,[[Nesosilicate]] <br/>Garnet group,Mn<sup>2+</sup><sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,9.AD.25,[[Cubic crystal system|Isometric]],,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),''Ia3d'',a = 11.63&nbsp;Å; Z&nbsp;=&nbsp;8,Massive to crystalline,None,6.5 – 7.5,Vitreous,"[[Isotropic]], often anomalous double refractive",1.800,none,White,,Transparent to translucent,,,,,,,,,,,,,,,,,Weak,,,,,Yellow through red,,,,,,,,,,,,,,,,,,Sub-[[conchoidal]],Brittle,,,,,,"4.19 calculated, 4.12 – 4.32 measured",,"Bands at 410, 420, 430&nbsp;nm (or merging to form cutoff below 430&nbsp;nm; also bands at 460, 480, 520&nbsp;nm. Possible weak bands at 504 or 573&nbsp;nm",,,,,,,,,,,,,,,
60,Garnet,Garnet Andradite20.jpg,,[[Nesosilicate]],The general formula ''X''<sub>3</sub>''Y''<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,,[[Cubic (crystal system)|Isometric]],,,Ia3d,,[[Rhombic dodecahedron]] or cubic,Indistinct,6.5–7.5,vitreous to resinous,"Single refractive, often anomalous double refractive",1.72–1.94,None,White,,,,,,Ca<sub>3</sub>Cr<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,vitreous to subadamantine,,,,,,,,Pyrope,Andradite,,,,,,variable,"virtually all colors, blue is very rare",black,,,,,Mn<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,,,variable magnetic attraction,,Grossular,,,,,,conchoidal to uneven,,Uvarovite,,Mg<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,Ca<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,3.1–4.3,,,Ca<sub>3</sub>Fe<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,,None,,Spessartine,,,,,,#FF9977,Fe<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,Almandine
61,Majorite,,,[[Nesosilicates]],Mg<sub>3</sub>(MgSi)(SiO<sub>4</sub>)<sub>3</sub>,9.AD.25,[[Cubic crystal system|Cubic]],,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),''Ia'' {{overline|3}} ''d'' or tetragonal ''I''4<sub>1</sub>/''a'' for pure MgSiO<sub>3</sub>,a = 11.52&nbsp;Å; Z&nbsp;=&nbsp;8,Microcrystalline aggregates; acicular to equant grains in narrow veinlets,None,7-7.5,Vitreous,Isotropic,n = 1.87 - 1.92 (calculated),slight,,,Semitransparent,,,,,,,,,,,,,,,,,,,,,,"Purple, pale yellowish brown, colorless",,,,,,,,,,,,,,,,,,,,,,,,,Measured at about 4; 3.51 (calculated for pure MgSiO<sub>3</sub>),,,,,,,,,,,,,,,,,
62,calderite,Calderite garnet.jpg,Calderite crystals on matrix from [[Sunndal]] [[Norway]],[[Silicate mineral]],(Mn<sup>2+</sup>Ca)<sub>3</sub>(Fe<sup>3+</sup>Al)<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,9.AD.25 (10 ed) <br/><small>8/A.08–40 (8 ed)</small>,[[Cubic crystal system|Cubic]],51.4.3a.6,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),''I''a {{overline|3}} d,a = 11.819&nbsp;Å; Z = 8,,None,6.5-7.5,Vitreous,Isotropic,n = 1.872,,white,,transparent to translucent,,,,,,,,,,,,,,,,,,,,,,brownish red to brownish yellow,,,,,,,,,,,,,,,260px,Dark red hexoctahedral crystals on light colored rock,,,,,,,,,3.756,,,,,,,,,,,,,,,,,
63,Andradite,Andradite-Mali.jpg,"Single crystal (4.2cm) – Diakon, Nioro du Sahel Circle, Kayes Region, Mali",[[Garnet]] group,Ca<sub>3</sub>Fe<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,9.AD.25,[[Cubic crystal system|Cubic]],,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),''I''a {{overline|3}} d,a = 12.056&nbsp;Å; Z&nbsp;=&nbsp;8,"Commonly well-crystallized dodecahedra, trapezohedra, or combinations, also granular to massive",none,6.5 to 7,"Adamantine to resinous, dull","Isotropic, typically weakly anisotropic",n = 1.887,,White,,Transparent to translucent,,,,,,,,,,,,,,[[Demantoid]],,,,,,,,"Yellow, greenish yellow to emerald-green, dark green; brown, brownish red, brownish yellow; grayish black, black; may be sectored",,,,,,"transparent to translucent yellow, may show [[chatoyancy]]",,,,,,,,,260px,,,conchoidal to uneven,Brittle,,,transparent light to dark green to yellow-green,,,3.859 calculated; 3.8–3.9 measured,,"demantoid – 440nm band or complete absorption at 440nm and below, may also have lines at 618, 634, 685, 690nm",,,,,,''Topazolite'',,,,,,,opaque black,,''Melanite''
64,Grossular,Grossular-ww51a.jpg,"Grossular [[dodecahedron]], 7 mm across, from [[Coahuila]], Mexico",[[Nesosilicate]],Ca<sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,9.AD.25,[[Cubic crystal system|Cubic]],,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M Symbol]]: (4/m {{overline|3}} 2/m),''I''a {{overline|3}} d,,,none,6.5 to 7,greasy to vitreous,"Single refractive, often anomalous double refractive",1.740 (+.12 -.04),none,[[Brown (color)|Brown]],,,,,,,,vitreous,,,,,,,,[[Hessonite]],[[Rosolite]],,.028,,,,near colorless to light green – inert to weak orange in longwave and weak yellow-orange in shortwave; yellow – inert to weak orange in longwave and shortwave,"light to dark green, light to dark yellow to reddish brown, brown, orange, red, yellow, green, white, occasionally translucent to opaque pink. It is also but rarely 
found in colorless form",,,,,,transparent and colorless,,,,,,,,,260px,,,conchoidal to uneven,,,,yellow-red to reddish-orange,,,3.61 (+.15 -.04),,Hessonite sometimes shows bands at 407 and 430nm,translucent to opaque pink grossularite crystals in [[marble]] from Mexico,,,none,,[[Leuco-garnet]],,,,,,,intense green to yellowish green,,[[Tsavorite]]
65,Uvarovite,"Shuiskite, uvarovite 1100.FS2015 1.jpg",,[[Nesosilicate]],Ca<sub>3</sub>Cr<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,9.AD.25,[[Cubic crystal system|Cubic]],,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),''I''a {{overline|3}} d,a = 11.99&nbsp;Å; Z&nbsp;=&nbsp;8,"Euhedral crystals, granular, massive",,6.5–7.5,Vitreous,Isotropic,n = 1.865,,White,,"Transparent, translucent",,,,,,,,,,,,,,,,,,,,,,"Green, emerald-green, green-black",,,,,,,,,,[[Fluorescent]] red in both short and long UV,,,,,260px,,,"Uneven, conchoidal",,,,,,,3.77 - 3.81,,,,,,,,,,,,,,,,,
66,Goldmanite,Goldmanite.jpg,Goldmanite from Slovakia,"[[Nesosilicates]], [[garnet]]","{{chem2|Ca3(V^{3+},Al,Fe^{3+})2(SiO4)3}}",9.AD.25,[[Cubic crystal system|Isometric]],51.4.3b.4,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),''I''a {{overline|3}} d,"a = 12.01&nbsp;[[Ångström|Å]] <br/>V = 1,732.32&nbsp;Å<sup>3</sup>; Z&nbsp;=&nbsp;8",Dodecahedral crystals and anhedral grains,None,6–7,[[Vitreous lustre|Vitreous]],"Isotropic, may show weak anisotropism",n = 1.821,,White,,Transparent to sub-opaque,"[[Chromium|Cr]], [[Manganese|Mn]], [[Magnesium|Mg]]",,,,,,,,,,,,,,,,,,,,,"Green, brownish–green",,,,,,,,,,,,,,,,,,,,,,,,,3.74 – 3.77 (measured),,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Garnet,Garnet Andradite20.jpg,,[[Nesosilicate]],The general formula ''X''<sub>3</sub>''Y''<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,,[[Cubic (crystal system)|Isometric]],,,Ia3d,,[[Rhombic dodecahedron]] or cubic,Indistinct,6.5–7.5,vitreous to resinous,"Single refractive, often anomalous double refractive",1.72–1.94,None,White,,,,,,Ca<sub>3</sub>Cr<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,vitreous to subadamantine,,,,,,,,Pyrope,Andradite,,,,,,variable,"virtually all colors, blue is very rare",black,,,,,Mn<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,,,variable magnetic attraction,,Grossular,,,,,,conchoidal to uneven,,Uvarovite,,Mg<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,Ca<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,3.1–4.3,,,Ca<sub>3</sub>Fe<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,,None,,Spessartine,,,,,,#FF9977,Fe<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,Almandine
69,Garnet,Garnet Andradite20.jpg,,[[Nesosilicate]],The general formula ''X''<sub>3</sub>''Y''<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,,[[Cubic (crystal system)|Isometric]],,,Ia3d,,[[Rhombic dodecahedron]] or cubic,Indistinct,6.5–7.5,vitreous to resinous,"Single refractive, often anomalous double refractive",1.72–1.94,None,White,,,,,,Ca<sub>3</sub>Cr<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,vitreous to subadamantine,,,,,,,,Pyrope,Andradite,,,,,,variable,"virtually all colors, blue is very rare",black,,,,,Mn<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,,,variable magnetic attraction,,Grossular,,,,,,conchoidal to uneven,,Uvarovite,,Mg<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,Ca<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,3.1–4.3,,,Ca<sub>3</sub>Fe<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,,None,,Spessartine,,,,,,#FF9977,Fe<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,Almandine
70,Garnet,Garnet Andradite20.jpg,,[[Nesosilicate]],The general formula ''X''<sub>3</sub>''Y''<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,,[[Cubic (crystal system)|Isometric]],,,Ia3d,,[[Rhombic dodecahedron]] or cubic,Indistinct,6.5–7.5,vitreous to resinous,"Single refractive, often anomalous double refractive",1.72–1.94,None,White,,,,,,Ca<sub>3</sub>Cr<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,vitreous to subadamantine,,,,,,,,Pyrope,Andradite,,,,,,variable,"virtually all colors, blue is very rare",black,,,,,Mn<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,,,variable magnetic attraction,,Grossular,,,,,,conchoidal to uneven,,Uvarovite,,Mg<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,Ca<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,3.1–4.3,,,Ca<sub>3</sub>Fe<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,,None,,Spessartine,,,,,,#FF9977,Fe<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,Almandine
71,Hydrogrossular,File:Hydrogrossulaar.jpg,,[[Silicate minerals|Nesosilicate]],Ca<sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3−x</sub>(OH)<sub>4x</sub>,,[[cubic crystal system|Cubic]],,,,,[[Crystal habit|Massive]],none,7–7.5,vitreous,"single refractive, anomalous aggregate reaction",{{val|1.810|0.004|0.020}},none,,,,,,,,,vitreous to subadamantine,,,,,,,,,,,,,,,inert,"green to bluish green, pink, white, gray",,,,,,,,,,,,,,,,,,conchoidal,,,,,,,{{val|4.15|0.05|0.03}},,"dark green hydrogrossular often shows cutoff below 460 nm. Other color stones may show line around 463 nm, indicating some [[idocrase]] content",,,,none,,,,,,,,,,Gemological Institute of America,
72,Hydrogrossular,File:Hydrogrossulaar.jpg,,[[Silicate minerals|Nesosilicate]],Ca<sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3−x</sub>(OH)<sub>4x</sub>,,[[cubic crystal system|Cubic]],,,,,[[Crystal habit|Massive]],none,7–7.5,vitreous,"single refractive, anomalous aggregate reaction",{{val|1.810|0.004|0.020}},none,,,,,,,,,vitreous to subadamantine,,,,,,,,,,,,,,,inert,"green to bluish green, pink, white, gray",,,,,,,,,,,,,,,,,,conchoidal,,,,,,,{{val|4.15|0.05|0.03}},,"dark green hydrogrossular often shows cutoff below 460 nm. Other color stones may show line around 463 nm, indicating some [[idocrase]] content",,,,none,,,,,,,,,,Gemological Institute of America,
73,Garnet,Garnet Andradite20.jpg,,[[Nesosilicate]],The general formula ''X''<sub>3</sub>''Y''<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,,[[Cubic (crystal system)|Isometric]],,,Ia3d,,[[Rhombic dodecahedron]] or cubic,Indistinct,6.5–7.5,vitreous to resinous,"Single refractive, often anomalous double refractive",1.72–1.94,None,White,,,,,,Ca<sub>3</sub>Cr<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,vitreous to subadamantine,,,,,,,,Pyrope,Andradite,,,,,,variable,"virtually all colors, blue is very rare",black,,,,,Mn<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,,,variable magnetic attraction,,Grossular,,,,,,conchoidal to uneven,,Uvarovite,,Mg<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,Ca<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,3.1–4.3,,,Ca<sub>3</sub>Fe<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,,None,,Spessartine,,,,,,#FF9977,Fe<sub>3</sub>Al<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,,Almandine
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[{'Concrete navbox': []}],,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
